variable,mean,median,sd,MC_error,val2.5pc,val25.0pc,val75.0pc,val97.5pc,start,sample,ESS
mu.R[1],213,188.5,139.1,7.709,45.8,107.8,281.5,573.7,15001,100000,325
mu.R[2],208.5,190,123.8,6.768,55.71,102.9,282.4,502.9,15001,100000,334
mu.R[3],166.2,149,91.69,4.989,47.16,93.42,215.6,392.1,15001,100000,337
mu.R[4],91.83,87.04,36.05,1.887,35.22,67.44,109.9,179.1,15001,100000,364
mu.R[5],73.77,69.64,26.69,1.378,34.45,55.4,87.26,137.1,15001,100000,374
mu.R[6],89.25,86.1,28.12,1.4,44.33,69.6,104.2,157.6,15001,100000,403
mu.R[7],111.4,107.1,32.76,1.607,60.37,88.93,129.3,184.4,15001,100000,415
mu.R[8],132.6,127.8,36.81,1.779,75.17,108,151.2,218.5,15001,100000,428
mu.R[9],205.7,200.4,48.07,2.147,128.9,173.4,231.1,320.2,15001,100000,501
mu.R[10],235.4,226.4,61.56,2.889,138.5,191.5,271.3,377.8,15001,100000,453
mu.R[11],225.4,216.7,63.49,3.066,126.5,181.6,259.2,381.3,15001,100000,428
mu.R[12],207.4,201.1,60.15,2.928,107.8,164.9,242.4,344.2,15001,100000,421
mu.R[13],166.1,160.5,45.77,2.171,95.11,134.4,190.9,271.5,15001,100000,444
mu.R[14],296,284.8,76.51,3.602,180.7,241.2,339,476.9,15001,100000,451
mu.R[15],232.8,222.4,63.55,3.064,139.5,187.8,266.4,389.8,15001,100000,430
mu.R[16],171.3,166.3,50.06,2.436,90.91,137.5,197.3,284.2,15001,100000,422
mu.R[17],167.8,163.4,45.31,2.154,92.71,137.3,190.6,276.4,15001,100000,442
mu.R[18],252.5,244.3,60.93,2.786,159.8,209.7,285.2,399.2,15001,100000,478
mu.R[19],315.7,305.5,76.45,3.453,199.3,263.2,355.9,497.7,15001,100000,490
mu.R[20],337.3,329.5,81.91,3.759,201.2,279.1,385.6,522.5,15001,100000,474
mu.R[21],330,323.2,73.15,3.239,209.9,279,370.8,495.9,15001,100000,510
mu.R[22],344,333,83.1,3.766,216.3,285.8,388.6,536,15001,100000,486
mu.R[23],284.2,275.8,77.88,3.563,160.8,230.3,327.2,461.3,15001,100000,477
mu.R[24],348.6,333,96.89,4.329,200,280.3,401.5,577.9,15001,100000,501
mu.R[25],345.8,331.6,102.5,4.527,185.9,273.4,402.8,586.2,15001,100000,512
mu.R[26],224.9,220.6,63.33,2.732,116.1,181.3,261.5,365.1,15001,100000,537
mu.R[27],166.9,161.4,50.42,2.167,86.53,133.2,193.5,281.3,15001,100000,541
mu.R[28],158.2,153.8,47.44,1.993,79.98,124.9,186.2,262.9,15001,100000,566
mu.R[29],157.4,151.3,52.13,2.109,74.59,120.7,187,276.5,15001,100000,610
mu.R[30],168.7,150.5,89.69,2.237,53.44,107.7,207.9,393.8,15001,100000,1606
mu.R[31],180.2,150,126.2,2.421,42.09,100.1,223.6,497.4,15001,100000,2717
mu.R[32],191.8,149,168.1,2.75,34.85,93.67,236.3,607.6,15001,100000,3734
mu.R[33],204,149.1,221.2,3.189,29.61,88.86,247.3,708.2,15001,100000,4808
