variable,mean,median,sd,MC_error,val2.5pc,val97.5pc,start,sample,ESS
"mu.N[1,1]",444.1,445.1,54.59,1.661,333.7,548.5,20000,90001,1079
"mu.N[1,2]",260.5,259.5,31.5,0.4958,201.7,324.8,20000,90001,4035
"mu.N[1,3]",221.7,222.3,47.33,0.3864,128.3,313.6,20000,90001,15003
"mu.N[1,4]",230.9,231.4,58.48,0.2017,114.5,344.2,20000,90001,84021
"mu.N[2,1]",346,343.6,47.43,1.285,259.4,446.2,20000,90001,1361
"mu.N[2,2]",168.3,167.3,23.52,0.6546,125,216.7,20000,90001,1290
"mu.N[2,3]",264.8,264.7,30.21,0.3951,206,324.6,20000,90001,5848
"mu.N[2,4]",318.1,316.7,56.81,0.8137,211.6,433.5,20000,90001,4873
"mu.N[3,1]",241.5,241.1,22.13,0.499,199.3,285.9,20000,90001,1965
"mu.N[3,2]",229.9,229.3,26.49,0.4288,179.6,283.5,20000,90001,3817
"mu.N[3,3]",195.6,195.2,21.78,0.2687,153.5,238.8,20000,90001,6570
"mu.N[3,4]",503.5,500.7,66.1,1.477,382,640.8,20000,90001,2004
"mu.N[4,1]",78.82,78.38,9.991,0.3362,60.47,99.68,20000,90001,883
"mu.N[4,2]",206.4,206.3,17.5,0.2285,172.6,241,20000,90001,5862
"mu.N[4,3]",236.6,236.4,28.5,0.3483,181.3,293,20000,90001,6694
"mu.N[4,4]",495.7,495.2,48.49,0.6497,400.9,591.5,20000,90001,5571
"mu.N[5,1]",59.64,59.57,6.922,0.1692,46.26,73.43,20000,90001,1674
"mu.N[5,2]",49.32,49.3,5.084,0.07572,39.44,59.36,20000,90001,4508
"mu.N[5,3]",209.5,209.6,24.74,0.4669,160.7,257.5,20000,90001,2808
"mu.N[5,4]",544,543.9,47.98,0.646,450.4,638.4,20000,90001,5516
"mu.N[6,1]",64.43,64.32,7.678,0.2095,49.73,79.76,20000,90001,1342
"mu.N[6,2]",34.35,34.2,6.822,0.1735,21.57,48.18,20000,90001,1545
"mu.N[6,3]",47.34,47.3,7.019,0.1143,33.71,61.28,20000,90001,3768
"mu.N[6,4]",562.3,562.2,50.97,1.032,462.4,662.1,20000,90001,2441
"mu.N[7,1]",91.71,91.31,12.66,0.4913,67.62,117.3,20000,90001,664
"mu.N[7,2]",47.27,47.13,6.574,0.1232,34.8,60.57,20000,90001,2847
"mu.N[7,3]",35.4,35.31,6.413,0.09305,23.07,48.21,20000,90001,4750
"mu.N[7,4]",548.9,546.8,55.62,1.165,445.7,663.5,20000,90001,2280
"mu.N[8,1]",106.7,106.5,10.91,0.3682,85.96,128.7,20000,90001,878
"mu.N[8,2]",55.29,55.23,7.24,0.148,41.46,69.77,20000,90001,2394
"mu.N[8,3]",40.16,40.11,6.844,0.1119,26.95,53.7,20000,90001,3739
"mu.N[8,4]",404.8,404,37.07,0.4735,334,479.5,20000,90001,6128
"mu.N[9,1]",149.7,149.6,13.96,0.5237,122.7,177.1,20000,90001,710
"mu.N[9,2]",70.34,70.31,5.953,0.1002,58.83,82.12,20000,90001,3526
"mu.N[9,3]",45.21,45.15,6.76,0.1097,32.08,58.57,20000,90001,3795
"mu.N[9,4]",283.3,283.2,24.93,0.2008,235,332.7,20000,90001,15422
"mu.N[10,1]",187.2,186.6,18.41,0.7397,152.9,224.1,20000,90001,619
"mu.N[10,2]",86.16,86.07,7.388,0.136,72.02,100.9,20000,90001,2949
