variable,mean,median,sd,MC_error,val2.5pc,val97.5pc,start,sample,ESS
"mu.N[10,3]",55.85,55.84,6.483,0.1185,43.16,68.54,20000,90001,2990
"mu.N[10,4]",209.2,209.3,18.44,0.2084,172.9,245.4,20000,90001,7824
"mu.N[11,1]",193.6,193.3,18.98,0.777,156.6,231.6,20000,90001,596
"mu.N[11,2]",112.2,112,9.66,0.2033,93.6,131.5,20000,90001,2258
"mu.N[11,3]",71.72,71.68,7.051,0.1161,57.99,85.64,20000,90001,3686
"mu.N[11,4]",184.2,184,15.74,0.143,153.9,215.3,20000,90001,12113
"mu.N[12,1]",184.2,184,13.38,0.4421,158.8,211,20000,90001,915
"mu.N[12,2]",114.1,114.1,8.311,0.1608,97.94,130.6,20000,90001,2671
"mu.N[12,3]",92.59,92.56,8.352,0.1313,76.17,109,20000,90001,4043
"mu.N[12,4]",183.5,183.5,14.64,0.1372,155,212.4,20000,90001,11392
"mu.N[13,1]",140.5,140.6,12.36,0.4342,116.4,164.7,20000,90001,810
"mu.N[13,2]",132,131.9,7.844,0.1413,116.6,147.4,20000,90001,3081
"mu.N[13,3]",106.4,106.5,9.323,0.1477,88.06,124.7,20000,90001,3986
"mu.N[13,4]",207.7,207.8,15.01,0.1489,177.8,236.8,20000,90001,10159
"mu.N[14,1]",226.8,225.6,24.09,1.055,183.4,276.7,20000,90001,521
"mu.N[14,2]",85.97,85.86,5.81,0.1053,74.94,97.61,20000,90001,3044
"mu.N[14,3]",142.8,142.6,9.867,0.1818,123.9,162.6,20000,90001,2946
"mu.N[14,4]",249.9,250,17.28,0.1758,215.8,283.6,20000,90001,9658
"mu.N[15,1]",249.3,248.4,26.32,1.022,201.1,303.9,20000,90001,662
"mu.N[15,2]",102.2,102.2,7.089,0.0912,88.39,116.2,20000,90001,6041
"mu.N[15,3]",84.46,84.55,6.496,0.1076,71.39,96.8,20000,90001,3647
"mu.N[15,4]",320,320,19.6,0.2066,281.6,358.3,20000,90001,8996
"mu.N[16,1]",183.8,183.3,21.94,0.68,142.8,228.3,20000,90001,1040
"mu.N[16,2]",161.8,161.6,13.67,0.2511,135.5,189.2,20000,90001,2962
"mu.N[16,3]",109,108.9,10.71,0.194,87.82,130.1,20000,90001,3048
"mu.N[16,4]",327.9,327.7,21.81,0.365,285.5,371.1,20000,90001,3570
"mu.N[17,1]",121.2,121.1,13.11,0.4174,95.83,146.9,20000,90001,987
"mu.N[17,2]",87.33,87.29,7.033,0.1095,73.71,101.1,20000,90001,4123
"mu.N[17,3]",128.5,128.4,12.21,0.2034,104.9,152.7,20000,90001,3605
"mu.N[17,4]",261.6,261.3,18.35,0.2716,226.5,298.4,20000,90001,4562
"mu.N[18,1]",161.8,161.2,19.07,0.8188,125.7,201.4,20000,90001,542
"mu.N[18,2]",69.2,69.15,5.344,0.0657,58.88,79.81,20000,90001,6615
"mu.N[18,3]",93.25,93.24,8.23,0.1107,77.01,109.4,20000,90001,5531
"mu.N[18,4]",316.4,316.3,18.58,0.1995,280.3,352.9,20000,90001,8680
"mu.N[19,1]",202.5,201.9,19.44,0.7411,166.4,242.5,20000,90001,688
"mu.N[19,2]",97.88,97.8,7.174,0.1139,83.99,112.2,20000,90001,3964
"mu.N[19,3]",78.87,78.68,7.688,0.1608,64.44,94.54,20000,90001,2284
"mu.N[19,4]",330.1,329.9,19.02,0.2336,293.1,367.9,20000,90001,6624
"mu.N[20,1]",216.6,215.9,18.56,0.6237,182.1,255,20000,90001,885
"mu.N[20,2]",133.5,133.3,9.989,0.2204,114.5,153.5,20000,90001,2053
"mu.N[20,3]",104.5,104.4,8.522,0.1249,87.88,121.4,20000,90001,4652
"mu.N[20,4]",325.3,325,19.85,0.3071,287.3,365,20000,90001,4175
"mu.N[21,1]",194.6,194.4,19.3,0.6832,157.4,232.8,20000,90001,797
"mu.N[21,2]",161.9,161.8,9.336,0.1781,143.7,180.2,20000,90001,2748
"mu.N[21,3]",125.1,125.3,11.67,0.2501,101.4,147.2,20000,90001,2177
"mu.N[21,4]",329.9,329.5,20.33,0.3158,291.1,371.1,20000,90001,4144
"mu.N[22,1]",226.1,225.7,22.83,0.7388,182.8,272.4,20000,90001,955
"mu.N[22,2]",120.1,120.1,6.588,0.08544,107.2,133,20000,90001,5946
"mu.N[22,3]",181.4,181.1,12.61,0.2807,157.3,206.7,20000,90001,2018
"mu.N[22,4]",329.1,329.5,20.6,0.312,287.9,368.9,20000,90001,4358
"mu.N[23,1]",336,336.4,28.76,0.8731,279.2,391.6,20000,90001,1084
"mu.N[23,2]",170.3,170.2,12.91,0.2457,145.4,195.8,20000,90001,2758
"mu.N[23,3]",186.5,186.3,14.86,0.2833,158.1,216.2,20000,90001,2752
"mu.N[23,4]",556,555.4,38.13,0.6329,482.3,632.5,20000,90001,3630
"mu.N[24,1]",393.8,393.6,31.51,0.8869,333.3,456.3,20000,90001,1262
"mu.N[24,2]",134.7,134.6,9.848,0.1639,115.6,154,20000,90001,3611
"mu.N[24,3]",143.5,143.5,11.77,0.2022,120.1,166.4,20000,90001,3390
"mu.N[24,4]",555,554.7,35.48,0.3965,485.8,625.5,20000,90001,8009
"mu.N[25,1]",327.9,325.9,34.65,1.078,265,401.3,20000,90001,1033
"mu.N[25,2]",271,270.9,29.09,0.6995,215.1,328.5,20000,90001,1729
"mu.N[25,3]",115.5,115.2,12.48,0.295,91.69,140.4,20000,90001,1789
"mu.N[25,4]",509.9,510.1,30.56,0.3478,449.5,569.3,20000,90001,7721
"mu.N[26,1]",198.6,198.2,17.64,0.3365,165.1,234.3,20000,90001,2749
"mu.N[26,2]",228.1,228,18.73,0.3237,192.1,265.4,20000,90001,3347
"mu.N[26,3]",151.9,152,16.02,0.2766,120.2,183,20000,90001,3352
"mu.N[26,4]",462.1,462.1,27.37,0.2033,408.1,515.7,20000,90001,18121
"mu.N[27,1]",146.8,146.6,15.89,0.3353,116.2,178.8,20000,90001,2247
"mu.N[27,2]",126.8,126.7,9.249,0.1205,108.8,145,20000,90001,5893
"mu.N[27,3]",126.6,126.5,13.1,0.1829,101.3,152.5,20000,90001,5129
"mu.N[27,4]",451.6,451.3,28.21,0.2388,397,508,20000,90001,13949
"mu.N[28,1]",147.8,147.7,14.17,0.2047,120.1,175.8,20000,90001,4787
"mu.N[28,2]",64.01,64,5.101,0.049,54.02,74.09,20000,90001,10838
"mu.N[28,3]",58.35,58.35,6.248,0.07573,46.03,70.62,20000,90001,6806
"mu.N[28,4]",417.9,417.6,27.19,0.2359,365.3,471.9,20000,90001,13281
"mu.N[29,1]",164.2,164.1,14.47,0.1103,136.1,192.9,20000,90001,17210
"mu.N[29,2]",54.57,54.55,6.396,0.05108,42.1,67.14,20000,90001,15681
"mu.N[29,3]",37.76,37.66,6.72,0.09664,24.86,51.2,20000,90001,4835
"mu.N[29,4]",331.3,331.5,26.55,0.1931,278.8,382.9,20000,90001,18911
