variable,mean,median,sd,MC_error,val2.5pc,val25.0pc,val75.0pc,val97.5pc,start,sample,ESS
mu.mat[1],751.3,711,235.8,6.746,408.7,583.1,876.5,1317,15001,100000,1221
mu.mat[2],961.7,918.5,249.6,7.917,606.6,779.7,1095,1568,15001,100000,993
mu.mat[3],969.4,937.8,199.4,6.288,676.4,824.6,1078,1447,15001,100000,1005
mu.mat[4],1015,989.3,179,5.629,742.6,885.4,1115,1434,15001,100000,1010
mu.mat[5],1043,1019,168.7,5.257,781.1,921.3,1137,1440,15001,100000,1029
mu.mat[6],840.7,825.2,123.3,3.639,645.1,752.7,911.9,1126,15001,100000,1147
mu.mat[7],646.3,637.7,80.22,2.107,513.9,589.8,692.9,827.8,15001,100000,1449
mu.mat[8],492.8,486.4,57.21,1.324,397.9,452.8,526,623.7,15001,100000,1865
mu.mat[9],363.9,359.2,40.98,0.9039,296.4,335.5,387.3,458.7,15001,100000,2055
mu.mat[10],293.5,289.7,32.23,0.7291,240.9,271.2,311.5,368.8,15001,100000,1953
mu.mat[11],283.4,279.4,29.83,0.6935,236,262.5,299.8,353.7,15001,100000,1850
mu.mat[12],305.7,301.2,30.79,0.7398,258,284.2,322.4,379.4,15001,100000,1732
mu.mat[13],347.8,342.5,34.07,0.8191,295.1,323.9,366.3,428.8,15001,100000,1729
mu.mat[14],434.7,428.2,40.26,1.012,373.6,406.4,456.2,530.9,15001,100000,1582
mu.mat[15],447.6,441.6,40.17,0.9942,385.3,419.4,469.5,543.1,15001,100000,1632
mu.mat[16],483.3,477.7,41.95,1.057,416,453.9,506.5,581.1,15001,100000,1576
mu.mat[17],577,572.7,49.23,1.273,491.8,543.1,606.2,686.6,15001,100000,1495
mu.mat[18],606.3,602.5,54.8,1.478,509.3,568.5,640,725.3,15001,100000,1374
mu.mat[19],605.2,601,57.69,1.562,504,565.1,641,729.6,15001,100000,1363
mu.mat[20],636.1,631.5,62.11,1.725,527.6,592.8,674.3,771.3,15001,100000,1296
mu.mat[21],673.7,668.9,65.15,1.848,559.8,628.3,714.1,814.3,15001,100000,1242
mu.mat[22],754.6,751.1,58.85,1.488,648.7,713.8,791.5,879.2,15001,100000,1563
mu.mat[23],742.4,741.7,42.4,0.6612,661.2,713.4,770.6,827.2,15001,100000,4111
mu.mat[24],698.3,698.2,36.15,0.3658,628.2,674,722.3,770,15001,100000,9765
mu.mat[25],625.4,625.4,31.18,0.258,564.3,604.5,646.3,686.6,15001,100000,14603
mu.mat[26],614,614.1,30,0.2473,554.9,593.9,634.3,672.8,15001,100000,14725
mu.mat[27],578.2,577.8,29.98,0.2587,520.3,558,598.2,638,15001,100000,13430
mu.mat[28],476.2,476,27.53,0.2065,422.8,457.6,494.5,531,15001,100000,17777
mu.mat[29],369.1,369.2,27.5,0.2024,314.8,350.7,387.7,422.9,15001,100000,18448
mu.mat[30],293,293.1,36.92,0.411,220.1,268.6,317.6,365.3,15001,100000,8069
mu.mat[31],260.3,257.5,54.52,0.8179,160.6,222.7,295.2,374.9,15001,100000,4442
mu.mat[32],248.4,242,74.73,1.294,121.6,195.7,293.6,412.5,15001,100000,3335
mu.mat[33],250.9,236.7,103.3,1.799,95.1,179.7,304.2,492.2,15001,100000,3296
