variable,mean,median,sd,MC_error,val2.5pc,val25.0pc,val75.0pc,val97.5pc,start,sample,ESS
mu.imm[1],1723,1619,547.8,21.66,963.5,1331,1996,3106,15001,100000,639
mu.imm[2],1246,1187,326.2,12.76,780.5,1015,1413,2066,15001,100000,653
mu.imm[3],955.1,925.6,215.3,8.546,623.8,800.1,1075,1475,15001,100000,634
mu.imm[4],566.7,550.8,125.8,5.076,371.3,475.7,638.2,862.9,15001,100000,614
mu.imm[5],221.7,214.6,51.75,2.214,141.9,184.6,250.9,344.8,15001,100000,546
mu.imm[6],201.8,195,45.49,2.038,132.6,169.6,226.5,312,15001,100000,498
mu.imm[7],228.3,222.5,47,2.112,155.5,195.7,253.4,336.7,15001,100000,495
mu.imm[8],265.4,259.3,52.18,2.313,184.4,228.1,294.3,389.3,15001,100000,508
mu.imm[9],361.8,353.4,68.11,2.951,254.3,314.9,398.5,517.8,15001,100000,532
mu.imm[10],449.2,438.5,85.89,3.764,314.7,388.9,496.2,648.7,15001,100000,520
mu.imm[11],500,485.6,95.26,4.208,354.2,433.4,551.9,725.8,15001,100000,512
mu.imm[12],487.4,476.6,87.58,3.782,352.7,425.1,535.2,692,15001,100000,536
mu.imm[13],440.6,430,77.28,3.336,321.5,386.4,482.7,622,15001,100000,536
mu.imm[14],517.1,503.7,104.9,4.742,360.4,441,574.3,763.3,15001,100000,489
mu.imm[15],580,566.2,108.1,4.787,413.8,502.6,638.7,838.7,15001,100000,509
mu.imm[16],560.3,548.9,96.37,4.101,410.3,492,614,780,15001,100000,552
mu.imm[17],452.8,444.6,78.62,3.235,326.9,398.2,496.9,630,15001,100000,590
mu.imm[18],505.6,496,92.09,3.874,358.3,439.9,557.6,717.7,15001,100000,565
mu.imm[19],659.1,646.4,118,4.872,474.4,575.1,724.6,927.9,15001,100000,586
mu.imm[20],762.3,749.2,131.5,5.374,551.9,669.6,836.5,1064,15001,100000,598
mu.imm[21],771.7,759.4,124.3,5.08,572.1,684.5,842.6,1059,15001,100000,598
mu.imm[22],756.3,742.9,129.1,5.505,551.5,666,828.5,1050,15001,100000,549
mu.imm[23],749.9,734.3,130,5.64,548.2,658.3,821,1041,15001,100000,530
mu.imm[24],788.6,770.8,134.4,5.817,579.5,693.5,865,1092,15001,100000,533
mu.imm[25],879.3,860,153.6,6.56,637.5,769.4,968.1,1231,15001,100000,548
mu.imm[26],622.8,611,101.4,4.307,462,549.6,681.9,851.9,15001,100000,554
mu.imm[27],401.2,392.2,69.1,2.931,294.2,353.2,438.7,558.1,15001,100000,555
mu.imm[28],314.7,307.6,55.52,2.305,228.6,275.9,345,442.2,15001,100000,580
mu.imm[29],326.5,319.2,58.63,2.44,235.6,285,358.7,459.8,15001,100000,577
mu.imm[30],367.8,350.9,107,2.926,212.1,295.7,419.8,625.4,15001,100000,1336
mu.imm[31],389.4,351.8,185.8,3.539,152.9,267.8,465.9,851,15001,100000,2757
mu.imm[32],413.8,350.4,273.7,4.372,117.4,245,503.2,1094,15001,100000,3917
mu.imm[33],441.5,350.2,376.4,5.43,94.89,228.7,537.1,1328,15001,100000,4803
