variable,mean,median,sd,MC_error,val2.5pc,val25.0pc,val75.0pc,val97.5pc,start,sample,ESS
S.trawl[1],0.675,0.6733,0.1068,0.004708,0.4678,0.6033,0.7481,0.8811,15001,100000,514
S.trawl[2],0.7265,0.7239,0.09811,0.004331,0.5433,0.6559,0.7965,0.9174,15001,100000,513
S.vessel[1],0.6403,0.633,0.1515,0.005029,0.3659,0.5284,0.7479,0.944,15001,100000,907
S.vessel[2],0.7394,0.739,0.1145,0.003833,0.5172,0.6591,0.822,0.9577,15001,100000,892
S.vessel[3],0.9087,0.9228,0.06832,0.001923,0.7467,0.8679,0.9635,0.9965,15001,100000,1262
S.vessel[4],0.6801,0.6791,0.0555,0.001627,0.5735,0.6427,0.7168,0.7912,15001,100000,1163
