variable,mean,median,sd,MC_error,val2.5pc,val25.0pc,val75.0pc,val97.5pc,start,sample,ESS
survival[1],0.817,0.8226,0.1022,0.002549,0.607,0.7456,0.8968,0.986,15001,100000,1606
survival[2],0.6462,0.6431,0.09644,0.002106,0.4664,0.5782,0.7118,0.8397,15001,100000,2097
survival[3],0.4891,0.4874,0.07605,0.001335,0.3448,0.437,0.5396,0.6436,15001,100000,3246
survival[4],0.3545,0.3511,0.06994,0.001335,0.2271,0.3059,0.3998,0.4989,15001,100000,2743
survival[5],0.2154,0.2123,0.05447,9.50E-04,0.1153,0.1791,0.2489,0.3313,15001,100000,3285
survival[6],0.1416,0.1381,0.0445,7.71E-04,0.06277,0.1113,0.1687,0.2385,15001,100000,3327
survival[7],0.08019,0.07912,0.02493,4.98E-04,0.03242,0.06393,0.09559,0.1327,15001,100000,2501
