variable,mean,median,sd,MC_error,val2.5pc,val97.5pc,start,sample,ESS
"mu[1,1]",1121,1054,368.5,15.43,595.6,2045,20000,90001,570
"mu[1,2]",606.6,569,192.7,6.78,345.2,1092,20000,90001,807
"mu[1,3]",369.7,349.4,126.2,3.518,181.1,672.4,20000,90001,1287
"mu[1,4]",385.3,363.9,143,3.57,164.4,724.2,20000,90001,1604
"mu[2,1]",858,818.5,232,9.436,521.2,1431,20000,90001,604
"mu[2,2]",386.7,367.3,107.7,3.962,236.4,650.7,20000,90001,738
"mu[2,3]",439.7,419,118,3.938,271.9,724.3,20000,90001,898
"mu[2,4]",526.6,501.7,154.1,4.529,300.4,896.5,20000,90001,1158
"mu[3,1]",507.2,489.8,123.1,4.939,321.6,804.6,20000,90001,621
"mu[3,2]",445.1,431.4,102.5,4.004,284.9,687.3,20000,90001,655
"mu[3,3]",271.8,263.7,55.98,1.732,185.2,403,20000,90001,1045
"mu[3,4]",700.5,676.3,156.9,5.001,466.5,1075,20000,90001,984
"mu[4,1]",165.8,159.4,44.09,1.784,99.3,268.8,20000,90001,610
"mu[4,2]",400,388.8,88.26,3.617,262.9,605.6,20000,90001,595
"mu[4,3]",328.5,320.1,66.84,1.979,221.9,483.5,20000,90001,1140
"mu[4,4]",687.9,669.4,130.8,4.148,485.4,993.2,20000,90001,994
"mu[5,1]",125.6,120.7,33.32,1.425,75.5,206,20000,90001,546
"mu[5,2]",95.65,92.71,22.13,0.9151,60.9,147.8,20000,90001,584
"mu[5,3]",290.6,283.4,57.5,1.731,198.5,421.7,20000,90001,1103
"mu[5,4]",753,735.8,127.4,4.016,553.2,1049,20000,90001,1005
"mu[6,1]",135,129.9,33.12,1.466,85.11,216.7,20000,90001,510
"mu[6,2]",66.22,63.87,17.68,0.683,38.32,106.8,20000,90001,670
"mu[6,3]",65.52,64.06,13.6,0.3715,42.99,96.48,20000,90001,1340
"mu[6,4]",775.9,761.3,115.7,3.555,592.7,1044,20000,90001,1059
"mu[7,1]",153.6,149.9,34.12,1.495,98.38,232.4,20000,90001,521
"mu[7,2]",73.08,71.6,15.05,0.5504,47.99,106.9,20000,90001,748
"mu[7,3]",39.18,38.8,7.841,0.1524,24.94,55.85,20000,90001,2647
"mu[7,4]",607.1,598.9,78.11,2.15,477.3,783.6,20000,90001,1319
"mu[8,1]",179,174.3,38.2,1.692,120.6,266.7,20000,90001,509
"mu[8,2]",85.53,83.66,17.44,0.6541,56.83,124.7,20000,90001,710
"mu[8,3]",44.43,44.07,8.386,0.1592,29.13,62.03,20000,90001,2775
"mu[8,4]",447.9,442.2,54.54,1.306,356,571.1,20000,90001,1744
"mu[9,1]",250.9,244.4,50.62,2.205,170.6,366.8,20000,90001,527
"mu[9,2]",108.8,106.8,19.42,0.7778,77.16,152.2,20000,90001,623
"mu[9,3]",50.02,49.52,8.546,0.1719,34.69,68.4,20000,90001,2470
"mu[9,4]",313.5,309.7,37.71,0.8247,249.6,398.7,20000,90001,2090
"mu[10,1]",313.7,305.2,64.47,2.834,213.2,461.5,20000,90001,517
"mu[10,2]",133.3,130.8,24.05,0.9584,94.59,188.5,20000,90001,629
"mu[10,3]",61.81,61.18,8.948,0.2036,45.96,81.36,20000,90001,1932
"mu[10,4]",231.5,228.8,27.95,0.623,183.9,295,20000,90001,2012
"mu[11,1]",324.4,313.8,66.64,2.953,222.3,482.1,20000,90001,509
"mu[11,2]",173.6,170.2,31.41,1.275,122.4,245.2,20000,90001,607
"mu[11,3]",79.35,78.52,10.18,0.2329,61.64,102.1,20000,90001,1910
"mu[11,4]",203.8,201.3,24.3,0.5418,163.2,259.2,20000,90001,2012
"mu[12,1]",308.6,301.5,59.02,2.539,218.2,449.1,20000,90001,540
"mu[12,2]",176.5,173.4,30.33,1.255,127.5,244.2,20000,90001,583
"mu[12,3]",102.5,101.2,12.72,0.2967,81.02,131.5,20000,90001,1838
"mu[12,4]",203,200.4,23.24,0.5313,164.3,256.2,20000,90001,1912
"mu[13,1]",235.6,228.8,48.08,2.061,162.1,345.7,20000,90001,543
"mu[13,2]",203.8,200,31.74,1.305,153.5,276.6,20000,90001,591
"mu[13,3]",117.8,116.4,14.23,0.3253,93.67,150,20000,90001,1912
"mu[13,4]",229.8,226.9,24.9,0.5688,188.5,287.2,20000,90001,1917
"mu[14,1]",380.9,369.9,84.63,3.911,255.7,578.8,20000,90001,468
"mu[14,2]",133,130.5,22.98,0.947,96.59,184.6,20000,90001,588
"mu[14,3]",158,155.9,16.76,0.4503,130.9,196.4,20000,90001,1384
"mu[14,4]",276.5,273.2,28.87,0.6642,229,342.4,20000,90001,1889
"mu[15,1]",417.4,406.3,85.54,3.835,285,619.3,20000,90001,497
"mu[15,2]",157.9,155.1,26.11,1.057,116.1,218.4,20000,90001,610
"mu[15,3]",93.41,92.43,10.22,0.2559,76.02,116.7,20000,90001,1594
"mu[15,4]",353.8,349.7,33.8,0.8245,298.7,432.2,20000,90001,1680
"mu[16,1]",307,300.2,61.35,2.51,209.6,443.1,20000,90001,597
"mu[16,2]",249.7,244.9,40.95,1.61,183.3,342.9,20000,90001,646
"mu[16,3]",120.4,119.5,14.37,0.3365,94.91,151.7,20000,90001,1824
"mu[16,4]",362.4,358.8,34.31,0.8582,305.2,441,20000,90001,1598
"mu[17,1]",271.1,265.7,54.26,2.182,183.3,392.4,20000,90001,618
"mu[17,2]",180.2,177.2,28.22,1.035,134.2,244,20000,90001,743
"mu[17,3]",189.9,189,22.1,0.509,148.9,236.3,20000,90001,1884
"mu[17,4]",386.7,383.8,36.28,0.9232,324.1,467,20000,90001,1544
"mu[18,1]",362.2,353.8,75.33,3.273,243.7,535.2,20000,90001,529
"mu[18,2]",142.8,140.8,22.14,0.7994,105.5,192,20000,90001,767
"mu[18,3]",138.1,137.3,16.94,0.4002,106.7,173.7,20000,90001,1791
"mu[18,4]",468,465.2,44.15,1.215,389.8,564.4,20000,90001,1320
"mu[19,1]",453.4,443,89.26,3.727,312.3,657.9,20000,90001,573
"mu[19,2]",202,198.9,31.29,1.16,150.3,271.9,20000,90001,727
"mu[19,3]",116.7,115.8,14.49,0.3454,90.95,147.7,20000,90001,1759
"mu[19,4]",488.7,485.3,49.56,1.418,401.3,595.9,20000,90001,1220
"mu[20,1]",484.6,474.7,90.52,3.71,340.8,693.7,20000,90001,595
"mu[20,2]",276.1,271.4,46.69,1.797,198.6,379.3,20000,90001,674
"mu[20,3]",154.6,153.7,17.73,0.432,122.6,192.2,20000,90001,1684
"mu[20,4]",481.6,477.9,50.78,1.458,392.6,591.8,20000,90001,1212
"mu[21,1]",435.1,427,82.66,3.4,300.4,619.9,20000,90001,590
"mu[21,2]",333.8,329.7,47.01,1.774,255.3,441.1,20000,90001,701
"mu[21,3]",185.2,184.4,23.59,0.6811,141.7,233.8,20000,90001,1199
"mu[21,4]",488.4,484.8,50.08,1.41,400.5,596.9,20000,90001,1262
"mu[22,1]",505.5,495.1,96.09,4.025,349,719.8,20000,90001,569
"mu[22,2]",247.8,244.4,35.79,1.41,189,327.8,20000,90001,644
"mu[22,3]",268.2,266.5,25.84,0.7001,222.5,323.8,20000,90001,1362
"mu[22,4]",486.5,484.6,42.49,1.047,408,575.1,20000,90001,1646
"mu[23,1]",509.2,498.1,94.09,3.932,362.4,719.9,20000,90001,572
"mu[23,2]",238.4,234.7,38.39,1.576,175.4,325.2,20000,90001,593
"mu[23,3]",186.5,186.3,14.86,0.2833,158.1,216.2,20000,90001,2752
"mu[23,4]",556,555.4,38.13,0.6329,482.3,632.5,20000,90001,3630
"mu[24,1]",596.4,583.5,105.8,4.491,428.6,836.7,20000,90001,555
"mu[24,2]",188.3,185,28.99,1.195,141.3,253.5,20000,90001,588
"mu[24,3]",143.5,143.5,11.77,0.2022,120.1,166.4,20000,90001,3390
"mu[24,4]",555,554.7,35.48,0.3965,485.8,625.5,20000,90001,8009
"mu[25,1]",497.4,484,99.58,4.253,343.7,726.6,20000,90001,548
"mu[25,2]",379.5,373.5,67.86,2.602,265.7,529,20000,90001,680
"mu[25,3]",115.5,115.2,12.48,0.295,91.69,140.4,20000,90001,1789
"mu[25,4]",509.9,510.1,30.56,0.3478,449.5,569.3,20000,90001,7721
"mu[26,1]",301,294.2,56.07,2.289,212.5,427.7,20000,90001,599
"mu[26,2]",319.2,314,50.92,2.016,235,433.3,20000,90001,637
"mu[26,3]",151.9,152,16.02,0.2766,120.2,183,20000,90001,3352
"mu[26,4]",462.1,462.1,27.37,0.2033,408.1,515.7,20000,90001,18121
"mu[27,1]",222.7,216.8,45.13,1.811,153.4,325.2,20000,90001,620
"mu[27,2]",177.3,174.5,27.41,1.079,131.9,237.9,20000,90001,644
"mu[27,3]",126.6,126.5,13.1,0.1829,101.3,152.5,20000,90001,5129
"mu[27,4]",451.6,451.3,28.21,0.2388,397,508,20000,90001,13949
"mu[28,1]",224,218.6,43.09,1.722,156.4,321.5,20000,90001,626
"mu[28,2]",89.54,88.21,14.14,0.5564,65.97,120.9,20000,90001,645
"mu[28,3]",58.35,58.35,6.248,0.07573,46.03,70.62,20000,90001,6806
"mu[28,4]",417.9,417.6,27.19,0.2359,365.3,471.9,20000,90001,13281
"mu[29,1]",248.9,243.1,46.76,1.871,175.9,355.6,20000,90001,624
"mu[29,2]",76.37,75.13,13.9,0.4796,52.82,107.1,20000,90001,840
"mu[29,3]",37.76,37.66,6.72,0.09664,24.86,51.2,20000,90001,4835
"mu[29,4]",331.3,331.5,26.55,0.1931,278.8,382.9,20000,90001,18911
"mu[30,1]",257,241.4,97.31,2.14,117.3,490.7,20000,90001,2068
"mu[30,2]",109.6,106.3,46.21,0.8969,30.86,208.6,20000,90001,2654
"mu[30,3]",36.84,35.98,12.14,0.195,15.68,62.55,20000,90001,3872
"mu[30,4]",256.1,256.2,33.88,0.3178,189.4,322.8,20000,90001,11368
"mu[31,1]",269.8,237.3,152.4,2.611,85.08,648.6,20000,90001,3405
"mu[31,2]",118.4,108.1,62.87,1.06,28.28,268.4,20000,90001,3515
"mu[31,3]",57.73,52.39,32.26,0.509,10.84,133.7,20000,90001,4017
"mu[31,4]",202.7,201.7,38.73,0.458,128.5,281.4,20000,90001,7151
"mu[32,1]",285.8,234,213,3.233,68.43,815.6,20000,90001,4341
"mu[32,2]",126.5,107.4,87.42,1.244,24.42,341.7,20000,90001,4936
"mu[32,3]",65.43,56.54,43.29,0.6404,9.475,171.7,20000,90001,4569
"mu[32,4]",183.4,180.1,49.45,0.7791,95.53,288.7,20000,90001,4027
"mu[33,1]",304.2,233.7,289.9,4.01,56.09,968,20000,90001,5228
"mu[33,2]",135.4,106.7,115.4,1.541,21.27,421.6,20000,90001,5610
