variable,mean,median,sd,MC_error,val2.5pc,val25.0pc,val75.0pc,val97.5pc,start,sample,ESS
M.mean[1],0.1225,0.1126,0.07581,0.003482,0.008929,0.06326,0.1712,0.2865,15001,100000,474
M.mean[2],0.1207,0.1116,0.07391,0.003422,0.008776,0.06343,0.1683,0.2804,15001,100000,466
M.mean[3],0.3548,0.3558,0.08199,0.003608,0.1984,0.2954,0.4142,0.5083,15001,100000,516
M.mean[4],0.183,0.1774,0.1022,0.002549,0.014,0.1032,0.2544,0.393,15001,100000,1606
M.mean[5],0.2022,0.1953,0.1192,0.002732,0.01168,0.1048,0.291,0.4384,15001,100000,1904
M.mean[6],0.2322,0.2286,0.1304,0.002526,0.01526,0.1268,0.3305,0.4823,15001,100000,2667
M.mean[7],0.2663,0.2693,0.142,0.00212,0.01806,0.154,0.375,0.5257,15001,100000,4485
M.mean[8],0.3807,0.3953,0.1509,0.002339,0.06029,0.2862,0.4788,0.6692,15001,100000,4160
M.mean[9],0.3366,0.3511,0.1555,0.00158,0.03376,0.2265,0.4469,0.6186,15001,100000,9685
M.mean[10],0.4186,0.4242,0.1339,0.002671,0.1459,0.337,0.4975,0.6962,15001,100000,2515
