variable,mean,median,sd,MC_error,val2.5pc,val97.5pc,start,sample,ESS
"mu[1,1]",1057,1001,341.7,17.62,559.3,1873,15001,50000,376
"mu[1,2]",586.8,554.3,178.6,7.547,331.3,1014,15001,50000,559
"mu[1,3]",359.8,340.9,122.2,4.061,175.7,649.3,15001,50000,904
"mu[1,4]",376.8,357.1,137.9,4.144,162,699.3,15001,50000,1107
"mu[2,1]",858.2,829.3,220.1,11.25,517.7,1356,15001,50000,382
"mu[2,2]",382.9,365.5,107.4,5.005,225.2,636.1,15001,50000,460
"mu[2,3]",428.3,409.2,112.8,4.442,266.2,699.1,15001,50000,644
"mu[2,4]",520.2,496.8,146.6,5.009,299.1,868.6,15001,50000,856
"mu[3,1]",507.8,487,131.7,7.072,310.9,810.9,15001,50000,346
"mu[3,2]",440.1,422.3,110.9,5.803,269.8,691.2,15001,50000,365
"mu[3,3]",267.2,260.8,52.38,1.897,183.6,387.5,15001,50000,762
"mu[3,4]",687,666.7,145.7,5.329,460.3,1024,15001,50000,747
"mu[4,1]",165.4,156.8,51.43,2.853,89.49,282.9,15001,50000,324
"mu[4,2]",389.7,377.3,92.51,4.943,245.3,594.2,15001,50000,350
"mu[4,3]",326.4,318.7,65.47,2.438,220.2,475.2,15001,50000,720
"mu[4,4]",675.6,661.1,122.5,4.559,475.4,952.2,15001,50000,721
"mu[5,1]",124.3,119.8,33.69,1.808,71.21,200.5,15001,50000,347
"mu[5,2]",92.24,89.19,22.71,1.18,56.55,143.2,15001,50000,370
"mu[5,3]",289.7,283.2,54.85,2.049,200.7,414.8,15001,50000,716
"mu[5,4]",743.5,730.3,122.3,4.695,541.7,1016,15001,50000,678
"mu[6,1]",131.4,127.1,33.59,1.863,79.14,208.2,15001,50000,325
"mu[6,2]",62.52,60.17,17.5,0.8378,34.88,102.9,15001,50000,436
"mu[6,3]",65.23,63.87,13.44,0.4522,42.81,95.12,15001,50000,883
"mu[6,4]",773,760,113.2,4.268,588.9,1027,15001,50000,703
"mu[7,1]",153.4,148.7,36.35,2.053,95.28,237.5,15001,50000,313
"mu[7,2]",71.26,69.15,16.41,0.8241,44.76,109.1,15001,50000,396
"mu[7,3]",38.81,38.47,7.868,0.1806,24.3,55.2,15001,50000,1897
"mu[7,4]",611.3,602.6,78.42,2.696,481.7,788.9,15001,50000,846
"mu[8,1]",175.2,168.2,41.94,2.431,112.2,274.9,15001,50000,297
"mu[8,2]",84.31,81.56,18.79,0.9398,54.74,127.4,15001,50000,399
"mu[8,3]",44.93,44.51,8.579,0.2214,29.16,62.94,15001,50000,1501
"mu[8,4]",453.9,448.4,56.28,1.761,359,580.4,15001,50000,1021
"mu[9,1]",256.3,247.5,56,3.258,169.6,383.1,15001,50000,295
"mu[9,2]",107.6,104.1,21.79,1.164,73.93,158.2,15001,50000,350
"mu[9,3]",50.59,50.09,8.831,0.2482,34.69,69.42,15001,50000,1265
"mu[9,4]",315.7,312.1,39.61,1.258,249.1,404.9,15001,50000,991
"mu[10,1]",309.1,295.4,74.17,4.39,204.8,490.6,15001,50000,285
"mu[10,2]",131.6,127.6,26.41,1.42,90.59,192.4,15001,50000,346
"mu[10,3]",62.35,61.67,9.297,0.2835,45.89,82.55,15001,50000,1075
"mu[10,4]",232.6,229.7,29.65,1.024,182.6,300.3,15001,50000,838
"mu[11,1]",331.8,316.4,75.73,4.405,223,511.1,15001,50000,295
"mu[11,2]",172.1,166.7,35.52,1.926,117,252.4,15001,50000,340
"mu[11,3]",80.16,79.28,10.59,0.3367,62.01,104.2,15001,50000,989
"mu[11,4]",206.7,203.7,25.73,0.8652,164.1,265.4,15001,50000,884
"mu[12,1]",308.9,298.1,65.93,3.785,209.8,462.9,15001,50000,303
"mu[12,2]",174.6,169.5,34.08,1.851,122.6,252.7,15001,50000,339
"mu[12,3]",103.6,102.3,13.28,0.4287,81.1,133.8,15001,50000,959
"mu[12,4]",205.4,202.4,25.03,0.8538,164.2,262.9,15001,50000,859
"mu[13,1]",231.3,225,50.68,2.833,151.2,345.1,15001,50000,319
"mu[13,2]",201.1,195,35.93,1.978,147.5,284.4,15001,50000,329
"mu[13,3]",118.9,117.5,14.84,0.4971,93.95,152.4,15001,50000,891
"mu[13,4]",230.4,227.3,26.74,0.9367,186.5,292.3,15001,50000,814
"mu[14,1]",394.2,378.4,94.54,5.477,253.7,618.7,15001,50000,297
"mu[14,2]",132.5,127.8,26.69,1.484,93.43,194.8,15001,50000,323
