variable,mean,median,sd,MC_error,val2.5pc,val25.0pc,val75.0pc,val97.5pc,start,sample,ESS
"M[6,4]",0.1934,0.1651,0.1435,0.003072,0.008085,0.07814,0.2792,0.5342,15001,100000,2183
"M[6,5]",0.2121,0.1814,0.161,0.00331,0.006508,0.07751,0.3162,0.5819,15001,100000,2366
"M[6,6]",0.2376,0.2064,0.1732,0.002944,0.008371,0.09273,0.352,0.6251,15001,100000,3461
"M[6,7]",0.271,0.2423,0.1901,0.002774,0.0102,0.1131,0.3978,0.6951,15001,100000,4694
"M[6,8]",0.3876,0.3741,0.2133,0.003273,0.03231,0.2221,0.5358,0.8338,15001,100000,4245
"M[6,9]",0.3441,0.3234,0.2148,0.002227,0.01831,0.1705,0.4919,0.8044,15001,100000,9306
"M[6,10]",0.4357,0.4239,0.2069,0.003601,0.07789,0.2797,0.5775,0.8686,15001,100000,3301
"M[7,1]",0.1287,0.09496,0.1184,0.004517,0.003788,0.04087,0.181,0.4408,15001,100000,687
"M[7,2]",0.1267,0.096,0.11,0.004465,0.003548,0.04165,0.1833,0.4066,15001,100000,607
"M[7,3]",0.3823,0.3889,0.1456,0.00546,0.09177,0.2812,0.4872,0.6512,15001,100000,711
"M[7,4]",0.1936,0.1609,0.1489,0.002957,0.007548,0.07541,0.2804,0.5548,15001,100000,2535
"M[7,5]",0.2065,0.1719,0.1607,0.003304,0.006372,0.07382,0.3065,0.5844,15001,100000,2366
"M[7,6]",0.2295,0.1969,0.169,0.003033,0.008163,0.08977,0.3391,0.6161,15001,100000,3103
"M[7,7]",0.2735,0.246,0.1901,0.00284,0.01051,0.1144,0.4035,0.6893,15001,100000,4481
"M[7,8]",0.3932,0.3833,0.2136,0.003297,0.03402,0.227,0.5428,0.8331,15001,100000,4196
"M[7,9]",0.3426,0.3219,0.2139,0.002257,0.01797,0.17,0.4895,0.8029,15001,100000,8982
"M[7,10]",0.4389,0.4276,0.2044,0.003559,0.08245,0.2859,0.58,0.8633,15001,100000,3296
"M[8,1]",0.1338,0.09768,0.123,0.004606,0.003911,0.04216,0.1889,0.4594,15001,100000,713
"M[8,2]",0.1341,0.1021,0.1157,0.004668,0.00368,0.04378,0.1941,0.4297,15001,100000,614
"M[8,3]",0.3762,0.3815,0.1314,0.004806,0.116,0.2844,0.4715,0.619,15001,100000,747
"M[8,4]",0.1954,0.1596,0.1536,0.003081,0.007477,0.07365,0.2817,0.5697,15001,100000,2485
"M[8,5]",0.2096,0.1706,0.1667,0.003253,0.006252,0.07362,0.3102,0.6088,15001,100000,2625
"M[8,6]",0.2292,0.1977,0.1684,0.002928,0.008085,0.09021,0.3392,0.6146,15001,100000,3307
"M[8,7]",0.2807,0.256,0.1926,0.002948,0.01002,0.1189,0.4152,0.6964,15001,100000,4269
"M[8,8]",0.4093,0.4038,0.2146,0.0032,0.03361,0.2465,0.5624,0.8364,15001,100000,4498
"M[8,9]",0.3444,0.3246,0.2144,0.002289,0.01754,0.1711,0.4918,0.8037,15001,100000,8779
"M[8,10]",0.4473,0.4396,0.1994,0.003354,0.09045,0.2999,0.5842,0.8587,15001,100000,3532
"M[9,1]",0.1303,0.1013,0.1091,0.003864,0.00492,0.04756,0.184,0.4128,15001,100000,796
"M[9,2]",0.1199,0.09867,0.09266,0.003621,0.004963,0.04672,0.1734,0.3465,15001,100000,654
"M[9,3]",0.4,0.4077,0.1268,0.00472,0.1374,0.3152,0.4919,0.6257,15001,100000,722
"M[9,4]",0.1961,0.1599,0.1549,0.003115,0.007488,0.07405,0.2827,0.5762,15001,100000,2471
"M[9,5]",0.2117,0.1703,0.1711,0.003314,0.006237,0.0732,0.3123,0.6283,15001,100000,2666
"M[9,6]",0.2388,0.2022,0.1799,0.003039,0.007703,0.08966,0.3547,0.6538,15001,100000,3506
"M[9,7]",0.3024,0.2803,0.2044,0.003121,0.009895,0.127,0.452,0.7245,15001,100000,4288
"M[9,8]",0.4373,0.444,0.2173,0.003148,0.03556,0.2735,0.598,0.8428,15001,100000,4764
"M[9,9]",0.3551,0.3388,0.2174,0.002265,0.0182,0.1773,0.5085,0.8116,15001,100000,9211
"M[9,10]",0.4735,0.4714,0.1952,0.003063,0.1068,0.3332,0.6104,0.8628,15001,100000,4061
"M[10,1]",0.1423,0.1112,0.1181,0.004379,0.005598,0.05278,0.201,0.4435,15001,100000,726
"M[10,2]",0.147,0.1186,0.1147,0.004607,0.005604,0.05492,0.2163,0.4214,15001,100000,619
"M[10,3]",0.4185,0.427,0.1166,0.004226,0.1667,0.3431,0.5026,0.6213,15001,100000,760
"M[10,4]",0.1918,0.1578,0.151,0.003019,0.007483,0.07337,0.2752,0.5607,15001,100000,2500
"M[10,5]",0.2108,0.1698,0.1702,0.003187,0.006194,0.07306,0.312,0.6228,15001,100000,2852
"M[10,6]",0.239,0.2006,0.1824,0.00307,0.007841,0.08904,0.3549,0.6663,15001,100000,3529
"M[10,7]",0.2948,0.267,0.205,0.003002,0.01,0.1209,0.4386,0.7372,15001,100000,4663
"M[10,8]",0.4353,0.4432,0.2142,0.002984,0.03556,0.276,0.5924,0.8375,15001,100000,5153
"M[10,9]",0.3562,0.3423,0.2154,0.00221,0.0186,0.1809,0.5104,0.8015,15001,100000,9507
"M[10,10]",0.4731,0.4707,0.1934,0.003011,0.1052,0.3358,0.6053,0.8605,15001,100000,4126
"M[11,1]",0.1257,0.09815,0.1056,0.003935,0.005243,0.04622,0.1781,0.4005,15001,100000,719
"M[11,2]",0.1217,0.0994,0.09467,0.003778,0.004942,0.04644,0.1768,0.3524,15001,100000,627
"M[11,3]",0.3907,0.3967,0.1127,0.004331,0.155,0.3166,0.4722,0.5918,15001,100000,677
"M[11,4]",0.1789,0.1502,0.1368,0.002632,0.007293,0.07188,0.2554,0.5113,15001,100000,2702
"M[11,5]",0.2031,0.1635,0.1639,0.00302,0.006352,0.0707,0.2996,0.5987,15001,100000,2945
"M[11,6]",0.2331,0.1953,0.1786,0.002939,0.008177,0.08736,0.3425,0.6562,15001,100000,3691
"M[11,7]",0.2847,0.2534,0.2016,0.002795,0.009974,0.1161,0.4215,0.7335,15001,100000,5203
"M[11,8]",0.4104,0.4056,0.2134,0.00278,0.03517,0.2484,0.5627,0.8319,15001,100000,5892
"M[11,9]",0.3371,0.3199,0.2075,0.002045,0.01808,0.1697,0.4806,0.7836,15001,100000,10289
"M[11,10]",0.4419,0.4323,0.1908,0.003215,0.09785,0.3053,0.5669,0.8448,15001,100000,3521
"M[12,1]",0.1323,0.1035,0.1107,0.004157,0.004709,0.04787,0.1874,0.4144,15001,100000,709
"M[12,2]",0.1335,0.1078,0.1052,0.004326,0.004782,0.04931,0.1951,0.3876,15001,100000,590
"M[12,3]",0.3953,0.4033,0.1125,0.004276,0.1578,0.3216,0.4757,0.5947,15001,100000,692
"M[12,4]",0.1772,0.1504,0.1338,0.002647,0.00744,0.07309,0.2517,0.503,15001,100000,2556
"M[12,5]",0.2014,0.1623,0.1627,0.003157,0.006318,0.07007,0.2966,0.5959,15001,100000,2656
"M[12,6]",0.2335,0.1958,0.1795,0.00301,0.008059,0.08645,0.344,0.6576,15001,100000,3556
"M[12,7]",0.2797,0.2471,0.2002,0.002752,0.009657,0.1129,0.4137,0.7288,15001,100000,5292
"M[12,8]",0.4016,0.3939,0.2144,0.002788,0.03363,0.236,0.5543,0.8345,15001,100000,5913
"M[12,9]",0.3373,0.3182,0.2099,0.001954,0.01777,0.167,0.4812,0.7915,15001,100000,11539
"M[12,10]",0.4456,0.4388,0.1908,0.003112,0.09531,0.309,0.5731,0.8434,15001,100000,3758
"M[13,1]",0.1097,0.08002,0.1013,0.003703,0.003117,0.03513,0.1542,0.383,15001,100000,748
"M[13,2]",0.106,0.08216,0.08848,0.003565,0.003038,0.03485,0.1575,0.3212,15001,100000,616
"M[13,3]",0.3201,0.3247,0.1142,0.004461,0.09118,0.2406,0.4038,0.5277,15001,100000,654
"M[13,4]",0.1657,0.142,0.1227,0.00235,0.00726,0.0695,0.236,0.4604,15001,100000,2724
"M[13,5]",0.193,0.1584,0.1537,0.002953,0.006201,0.06875,0.2839,0.563,15001,100000,2707
"M[13,6]",0.2302,0.1902,0.1781,0.003142,0.008037,0.08566,0.3378,0.6547,15001,100000,3212
"M[13,7]",0.2748,0.2416,0.1968,0.002656,0.009848,0.111,0.4067,0.7157,15001,100000,5488
"M[13,8]",0.3904,0.3774,0.2138,0.002775,0.03266,0.2249,0.5398,0.8334,15001,100000,5936
"M[13,9]",0.3355,0.3147,0.2099,0.001955,0.01778,0.1666,0.4785,0.7904,15001,100000,11524
"M[13,10]",0.4439,0.4374,0.1991,0.003086,0.08038,0.2987,0.5809,0.8489,15001,100000,4165
"M[14,1]",0.05952,0.0422,0.05824,0.002111,0.001596,0.01818,0.08225,0.2155,15001,100000,760
"M[14,2]",0.05945,0.04238,0.05764,0.002245,0.001624,0.01798,0.08265,0.2142,15001,100000,659
"M[14,3]",0.2154,0.2112,0.09651,0.003954,0.04708,0.1429,0.2818,0.4139,15001,100000,595
"M[14,4]",0.1361,0.119,0.09607,0.001745,0.007088,0.06141,0.1916,0.3636,15001,100000,3032
"M[14,5]",0.1612,0.1354,0.1232,0.002319,0.006099,0.06257,0.2348,0.4533,15001,100000,2823
"M[14,6]",0.2051,0.1713,0.1566,0.002522,0.007878,0.07939,0.298,0.5832,15001,100000,3855
"M[14,7]",0.2559,0.2227,0.1842,0.002402,0.009793,0.1048,0.3743,0.6765,15001,100000,5881
"M[14,8]",0.3735,0.3577,0.2093,0.002846,0.03183,0.2119,0.5156,0.8204,15001,100000,5405
"M[14,9]",0.3275,0.3044,0.2065,0.001862,0.018,0.1619,0.4667,0.7778,15001,100000,12304
"M[14,10]",0.4146,0.401,0.2049,0.003304,0.06455,0.2607,0.554,0.8471,15001,100000,3845
"M[15,1]",0.08276,0.0598,0.07917,0.002982,0.002147,0.02573,0.1139,0.2963,15001,100000,704
"M[15,2]",0.09094,0.06286,0.08902,0.003505,0.002103,0.02677,0.1257,0.3434,15001,100000,644
"M[15,3]",0.2827,0.2873,0.1217,0.004848,0.04814,0.1943,0.3724,0.5054,15001,100000,629
"M[15,4]",0.1239,0.1081,0.08678,0.001551,0.006958,0.057,0.1748,0.3286,15001,100000,3129
"M[15,5]",0.1472,0.1243,0.1109,0.002,0.006054,0.05896,0.2124,0.4133,15001,100000,3075
"M[15,6]",0.1913,0.1613,0.1439,0.002317,0.007906,0.07601,0.2767,0.5338,15001,100000,3855
"M[15,7]",0.2424,0.2106,0.1749,0.002192,0.009521,0.1003,0.3521,0.6481,15001,100000,6365
"M[15,8]",0.363,0.3455,0.2064,0.002773,0.03105,0.2034,0.5011,0.8098,15001,100000,5539
"M[15,9]",0.3249,0.3029,0.2055,0.001869,0.01768,0.1598,0.4621,0.775,15001,100000,12078
"M[15,10]",0.4014,0.3858,0.2056,0.003287,0.05852,0.2447,0.5388,0.8436,15001,100000,3911
"M[16,1]",0.07075,0.04624,0.07573,0.002833,0.001406,0.01859,0.09588,0.2793,15001,100000,714
"M[16,2]",0.06982,0.04595,0.07228,0.002846,0.001412,0.01877,0.09582,0.2714,15001,100000,644
"M[16,3]",0.2264,0.2219,0.1097,0.004357,0.0357,0.1436,0.3039,0.448,15001,100000,633
"M[16,4]",0.1218,0.104,0.08901,0.001633,0.006651,0.0539,0.1706,0.3382,15001,100000,2969
"M[16,5]",0.1375,0.117,0.1019,0.001876,0.005978,0.05638,0.1978,0.3801,15001,100000,2952
"M[16,6]",0.1808,0.1529,0.1347,0.002162,0.007727,0.0736,0.2606,0.5007,15001,100000,3881
"M[16,7]",0.2316,0.2017,0.1674,0.002076,0.009584,0.09663,0.3354,0.6233,15001,100000,6500
"M[16,8]",0.3542,0.3349,0.2033,0.002752,0.03102,0.1969,0.4871,0.804,15001,100000,5458
"M[16,9]",0.3208,0.2963,0.2047,0.001913,0.01745,0.1575,0.4551,0.7746,15001,100000,11448
"M[16,10]",0.3925,0.3752,0.2059,0.003261,0.05563,0.2347,0.53,0.8394,15001,100000,3984
"M[17,1]",0.07129,0.04475,0.07907,0.003009,0.001273,0.01801,0.09599,0.2942,15001,100000,690
"M[17,2]",0.0735,0.04667,0.07814,0.003096,0.001305,0.0184,0.1002,0.2985,15001,100000,637
"M[17,3]",0.227,0.2185,0.1177,0.004709,0.03076,0.1353,0.309,0.4698,15001,100000,624
"M[17,4]",0.121,0.102,0.09016,0.001708,0.006822,0.05299,0.1685,0.3439,15001,100000,2786
"M[17,5]",0.1407,0.1165,0.1097,0.002042,0.006016,0.05574,0.1994,0.4129,15001,100000,2884
"M[17,6]",0.18,0.1518,0.1356,0.002322,0.007772,0.07252,0.258,0.5069,15001,100000,3412
"M[17,7]",0.228,0.1979,0.1644,0.002101,0.009327,0.09608,0.3307,0.6098,15001,100000,6119
"M[17,8]",0.3503,0.3298,0.2024,0.002756,0.03136,0.1932,0.4828,0.7982,15001,100000,5391
"M[17,9]",0.3208,0.2975,0.2046,0.001927,0.01779,0.155,0.4592,0.7685,15001,100000,11269
"M[17,10]",0.3901,0.3721,0.2063,0.003291,0.05241,0.2324,0.5279,0.836,15001,100000,3927
"M[18,1]",0.06454,0.04391,0.06715,0.002412,0.00122,0.01742,0.08876,0.2464,15001,100000,774
"M[18,2]",0.06641,0.04489,0.06807,0.002574,0.001275,0.0177,0.09222,0.2533,15001,100000,699
"M[18,3]",0.2226,0.2156,0.1141,0.004499,0.03147,0.1339,0.3034,0.4575,15001,100000,642
"M[18,4]",0.1154,0.09916,0.08283,0.001543,0.00648,0.05206,0.1613,0.3162,15001,100000,2883
"M[18,5]",0.1362,0.1138,0.1043,0.001862,0.005901,0.05524,0.194,0.3911,15001,100000,3136
"M[18,6]",0.173,0.1448,0.1309,0.002107,0.007781,0.06968,0.2477,0.4904,15001,100000,3863
"M[18,7]",0.2182,0.1906,0.156,0.001975,0.009572,0.09332,0.3143,0.5833,15001,100000,6237
"M[18,8]",0.3399,0.3186,0.1979,0.002696,0.03108,0.1876,0.467,0.7849,15001,100000,5387
"M[18,9]",0.3137,0.2889,0.2013,0.001919,0.01815,0.1525,0.4453,0.7611,15001,100000,11001
"M[18,10]",0.3801,0.3607,0.2039,0.003248,0.05102,0.224,0.514,0.8261,15001,100000,3939
"M[19,1]",0.04951,0.03228,0.05425,0.001925,0.001108,0.0133,0.06681,0.1956,15001,100000,793
"M[19,2]",0.04974,0.03232,0.05337,0.001998,0.001082,0.01306,0.06717,0.1991,15001,100000,713
"M[19,3]",0.1757,0.1664,0.09222,0.003643,0.02785,0.1053,0.236,0.3759,15001,100000,640
"M[19,4]",0.1213,0.103,0.08929,0.001671,0.006604,0.05341,0.1697,0.3401,15001,100000,2854
"M[19,5]",0.1325,0.1122,0.0994,0.001711,0.006026,0.05464,0.1887,0.3741,15001,100000,3376
"M[19,6]",0.1668,0.141,0.124,0.00194,0.007563,0.06927,0.2381,0.4643,15001,100000,4089
"M[19,7]",0.2164,0.1874,0.1563,0.001851,0.009352,0.09173,0.3107,0.5873,15001,100000,7125
"M[19,8]",0.3341,0.3126,0.1953,0.002678,0.03049,0.1849,0.4568,0.7762,15001,100000,5315
"M[19,9]",0.309,0.2824,0.1998,0.001871,0.01811,0.1493,0.4382,0.7588,15001,100000,11402
"M[19,10]",0.3736,0.3532,0.201,0.003175,0.0509,0.22,0.504,0.8214,15001,100000,4008
"M[20,1]",0.06439,0.04369,0.0673,0.002537,0.001567,0.01838,0.08706,0.2455,15001,100000,703
"M[20,2]",0.06453,0.0446,0.06402,0.002502,0.001537,0.01854,0.08958,0.2428,15001,100000,654
"M[20,3]",0.2238,0.2206,0.108,0.00434,0.03909,0.1393,0.3006,0.4408,15001,100000,619
"M[20,4]",0.1363,0.1157,0.1009,0.001984,0.006831,0.05864,0.1913,0.3813,15001,100000,2583
"M[20,5]",0.1464,0.1219,0.1128,0.002024,0.006072,0.05799,0.2094,0.4236,15001,100000,3104
"M[20,6]",0.168,0.1432,0.1233,0.001843,0.007486,0.07029,0.2418,0.459,15001,100000,4472
"M[20,7]",0.2178,0.1901,0.1559,0.001823,0.009595,0.09213,0.3137,0.5834,15001,100000,7314
"M[20,8]",0.3415,0.3205,0.1985,0.002683,0.03143,0.1893,0.4671,0.7892,15001,100000,5477
"M[20,9]",0.308,0.283,0.1979,0.00188,0.01833,0.1511,0.4358,0.7535,15001,100000,11087
"M[20,10]",0.3703,0.3498,0.1985,0.003123,0.05173,0.2193,0.4975,0.8139,15001,100000,4039
"M[21,1]",0.09697,0.06986,0.09235,0.003357,0.002516,0.02998,0.1344,0.3441,15001,100000,756
"M[21,2]",0.08137,0.06375,0.06861,0.002675,0.002587,0.02904,0.116,0.2516,15001,100000,657
"M[21,3]",0.3117,0.3169,0.1336,0.005399,0.05664,0.2139,0.4135,0.5527,15001,100000,612
"M[21,4]",0.1622,0.1391,0.1191,0.002454,0.006982,0.06774,0.2323,0.4444,15001,100000,2354
"M[21,5]",0.1752,0.143,0.1394,0.002597,0.006081,0.06413,0.2549,0.5153,15001,100000,2882
"M[21,6]",0.1953,0.1642,0.1477,0.00238,0.007672,0.07719,0.2831,0.5468,15001,100000,3852
"M[21,7]",0.2298,0.2011,0.1649,0.001989,0.009505,0.09586,0.3333,0.6124,15001,100000,6873
"M[21,8]",0.3631,0.3463,0.2044,0.002663,0.03227,0.2054,0.4995,0.8064,15001,100000,5889
"M[21,9]",0.3194,0.295,0.2036,0.00187,0.01858,0.1564,0.4542,0.7722,15001,100000,11855
"M[21,10]",0.3806,0.3628,0.1964,0.002927,0.05582,0.2332,0.5062,0.8132,15001,100000,4499
"M[22,1]",0.0531,0.03573,0.05557,0.002096,0.001339,0.01498,0.07213,0.2022,15001,100000,702
"M[22,2]",0.05349,0.03663,0.05425,0.002123,0.001317,0.01498,0.07343,0.2018,15001,100000,653
"M[22,3]",0.189,0.1827,0.09107,0.003877,0.03685,0.1195,0.251,0.3789,15001,100000,551
"M[22,4]",0.2064,0.178,0.1533,0.003387,0.007241,0.08036,0.3036,0.5629,15001,100000,2048
"M[22,5]",0.216,0.1759,0.1731,0.003592,0.006172,0.0731,0.3222,0.6263,15001,100000,2323
"M[22,6]",0.2322,0.1918,0.1798,0.003222,0.008134,0.08555,0.3437,0.656,15001,100000,3112
"M[22,7]",0.2649,0.2324,0.1905,0.002324,0.009785,0.1058,0.3914,0.6942,15001,100000,6720
"M[22,8]",0.4,0.3927,0.2166,0.002725,0.03386,0.231,0.5543,0.8367,15001,100000,6317
"M[22,9]",0.3366,0.3161,0.2108,0.001939,0.01856,0.1658,0.4818,0.7886,15001,100000,11821
"M[22,10]",0.4106,0.3999,0.1989,0.002683,0.06254,0.263,0.5453,0.8261,15001,100000,5492
"M[23,1]",0.07547,0.05145,0.07721,0.002856,0.002055,0.02147,0.103,0.2887,15001,100000,731
"M[23,2]",0.07813,0.05276,0.07906,0.003079,0.002111,0.02196,0.1061,0.3002,15001,100000,659
"M[23,3]",0.2373,0.2343,0.09811,0.003919,0.0629,0.1639,0.3053,0.4367,15001,100000,626
"M[23,4]",0.2038,0.1771,0.1489,0.003351,0.007383,0.08193,0.2992,0.543,15001,100000,1974
"M[23,5]",0.2157,0.1803,0.1679,0.003315,0.006289,0.07573,0.322,0.6041,15001,100000,2564
"M[23,6]",0.2386,0.1999,0.1819,0.003083,0.008236,0.08899,0.3536,0.6636,15001,100000,3480
"M[23,7]",0.2685,0.2337,0.1948,0.002429,0.009585,0.1062,0.3975,0.7084,15001,100000,6433
"M[23,8]",0.391,0.3791,0.2153,0.002609,0.03203,0.2229,0.5421,0.8332,15001,100000,6807
"M[23,9]",0.3382,0.3178,0.2109,0.001878,0.0182,0.1666,0.4843,0.7892,15001,100000,12611
"M[23,10]",0.409,0.398,0.2008,0.002893,0.06299,0.2589,0.5445,0.8293,15001,100000,4820
"M[24,1]",0.1215,0.09448,0.103,0.003807,0.004762,0.04455,0.17,0.3895,15001,100000,731
"M[24,2]",0.1398,0.1039,0.1226,0.005084,0.004536,0.04761,0.1957,0.4621,15001,100000,581
"M[24,3]",0.3832,0.3903,0.1126,0.004446,0.147,0.3075,0.4657,0.5814,15001,100000,641
"M[24,4]",0.1905,0.1634,0.14,0.003057,0.006976,0.07703,0.2779,0.5177,15001,100000,2098
"M[24,5]",0.2031,0.1743,0.1525,0.002899,0.006475,0.0758,0.3033,0.5479,15001,100000,2767
"M[24,6]",0.2391,0.2036,0.1792,0.002984,0.008381,0.09071,0.3552,0.6503,15001,100000,3603
"M[24,7]",0.2649,0.2299,0.192,0.002388,0.009527,0.1066,0.3887,0.7036,15001,100000,6462
"M[24,8]",0.3818,0.3682,0.2129,0.002512,0.03173,0.2154,0.5275,0.8286,15001,100000,7183
"M[24,9]",0.335,0.3149,0.2096,0.00181,0.01828,0.165,0.4779,0.7892,15001,100000,13406
"M[24,10]",0.4011,0.3874,0.2015,0.002863,0.05866,0.2494,0.5365,0.8287,15001,100000,4953
"M[25,1]",0.117,0.09242,0.09679,0.003494,0.005036,0.04423,0.1635,0.366,15001,100000,767
"M[25,2]",0.102,0.08371,0.07901,0.003005,0.004932,0.04187,0.143,0.2973,15001,100000,691
"M[25,3]",0.3756,0.3789,0.1059,0.004199,0.1632,0.3025,0.4511,0.5713,15001,100000,636
"M[25,4]",0.1964,0.1657,0.1479,0.003049,0.007295,0.07665,0.2883,0.5449,15001,100000,2354
"M[25,5]",0.2155,0.1844,0.1632,0.003165,0.006502,0.0783,0.323,0.5872,15001,100000,2658
"M[25,6]",0.2515,0.2208,0.183,0.003113,0.008338,0.0963,0.3777,0.6554,15001,100000,3455
"M[25,7]",0.27,0.2378,0.1929,0.002433,0.009531,0.1101,0.3993,0.7033,15001,100000,6287
