variable,mean,median,sd,MC_error,val2.5pc,val25.0pc,val75.0pc,val97.5pc,start,sample,ESS
"M[1,1]",0.09105,0.0611,0.09511,0.002811,0.002145,0.02522,0.1242,0.3552,15001,100000,1145
"M[1,2]",0.09114,0.06122,0.09519,0.002812,0.002158,0.02523,0.1242,0.3541,15001,100000,1145
"M[1,3]",0.2917,0.2813,0.1478,0.004287,0.0468,0.1779,0.3912,0.6038,15001,100000,1188
"M[1,4]",0.2303,0.1869,0.182,0.004695,0.007582,0.08415,0.3363,0.6687,15001,100000,1502
"M[1,5]",0.2377,0.1932,0.1904,0.003989,0.00635,0.08058,0.3543,0.6872,15001,100000,2277
"M[1,6]",0.2699,0.2263,0.2056,0.003539,0.008484,0.1007,0.4022,0.7474,15001,100000,3374
"M[1,7]",0.2878,0.2532,0.2065,0.002953,0.0103,0.1159,0.4251,0.7562,15001,100000,4887
"M[1,8]",0.3867,0.372,0.2159,0.003173,0.03299,0.2182,0.5377,0.8383,15001,100000,4626
"M[1,9]",0.3494,0.3281,0.2182,0.002207,0.01877,0.1736,0.4987,0.8182,15001,100000,9767
"M[1,10]",0.4343,0.4228,0.2101,0.003551,0.06987,0.2763,0.5783,0.8726,15001,100000,3501
"M[2,1]",0.06481,0.04836,0.05797,0.002074,0.002041,0.02195,0.09151,0.2147,15001,100000,781
"M[2,2]",0.07112,0.05163,0.06519,0.002282,0.002017,0.02244,0.1013,0.2416,15001,100000,816
"M[2,3]",0.2587,0.2521,0.1203,0.004465,0.04657,0.1669,0.3464,0.496,15001,100000,726
"M[2,4]",0.2347,0.1983,0.1765,0.004203,0.007932,0.09046,0.3474,0.6382,15001,100000,1762
"M[2,5]",0.2425,0.2009,0.1901,0.004042,0.00651,0.08396,0.3655,0.6814,15001,100000,2212
"M[2,6]",0.2732,0.2313,0.2069,0.003529,0.008675,0.1011,0.4065,0.7467,15001,100000,3436
"M[2,7]",0.2911,0.2552,0.2082,0.003025,0.01041,0.1175,0.4316,0.7588,15001,100000,4738
"M[2,8]",0.3916,0.3776,0.2168,0.003227,0.033,0.2241,0.5418,0.8436,15001,100000,4513
"M[2,9]",0.3528,0.3334,0.2203,0.002207,0.01825,0.1745,0.5035,0.8295,15001,100000,9964
"M[2,10]",0.4467,0.4355,0.2128,0.003715,0.07303,0.288,0.5947,0.884,15001,100000,3282
"M[3,1]",0.07471,0.05532,0.06829,0.002321,0.00227,0.02428,0.1051,0.2551,15001,100000,865
"M[3,2]",0.07505,0.05533,0.06842,0.002421,0.002154,0.02404,0.1061,0.2527,15001,100000,798
"M[3,3]",0.2751,0.2669,0.1323,0.004839,0.04651,0.1747,0.3668,0.5501,15001,100000,747
"M[3,4]",0.218,0.1888,0.1587,0.003738,0.007887,0.08703,0.3232,0.5748,15001,100000,1802
"M[3,5]",0.2441,0.2066,0.1871,0.004112,0.006497,0.08567,0.3704,0.6628,15001,100000,2069
"M[3,6]",0.2713,0.2319,0.2033,0.003422,0.008719,0.1016,0.4049,0.7323,15001,100000,3528
"M[3,7]",0.2865,0.2531,0.204,0.002927,0.01013,0.1165,0.4241,0.7393,15001,100000,4858
"M[3,8]",0.3879,0.3727,0.215,0.00317,0.03263,0.2224,0.5372,0.8396,15001,100000,4601
"M[3,9]",0.3485,0.3278,0.2176,0.002222,0.01804,0.1732,0.4977,0.8193,15001,100000,9582
"M[3,10]",0.441,0.4295,0.21,0.003644,0.07401,0.283,0.5867,0.8735,15001,100000,3320
"M[4,1]",0.07586,0.05267,0.07624,0.002659,0.002023,0.02255,0.1039,0.2823,15001,100000,822
"M[4,2]",0.06018,0.04619,0.052,0.001919,0.002031,0.02075,0.08557,0.1936,15001,100000,734
"M[4,3]",0.2506,0.2454,0.1158,0.004354,0.04778,0.1624,0.3311,0.4863,15001,100000,707
"M[4,4]",0.2219,0.1928,0.1627,0.00355,0.007815,0.0872,0.3279,0.5913,15001,100000,2100
"M[4,5]",0.2577,0.2256,0.1925,0.004314,0.006634,0.08923,0.3967,0.6688,15001,100000,1992
"M[4,6]",0.2776,0.2416,0.2049,0.003636,0.008687,0.103,0.418,0.7288,15001,100000,3175
"M[4,7]",0.2841,0.2515,0.2019,0.002786,0.01024,0.1155,0.4213,0.7314,15001,100000,5250
"M[4,8]",0.3912,0.3774,0.2161,0.003123,0.03297,0.2236,0.542,0.8419,15001,100000,4785
"M[4,9]",0.3486,0.3272,0.2172,0.002107,0.01814,0.1737,0.4995,0.8154,15001,100000,10630
"M[4,10]",0.4459,0.4363,0.2094,0.003629,0.07759,0.2888,0.5904,0.8762,15001,100000,3329
"M[5,1]",0.08732,0.05839,0.09105,0.003429,0.001917,0.02325,0.121,0.339,15001,100000,704
"M[5,2]",0.1025,0.06306,0.1089,0.004542,0.001893,0.02402,0.1422,0.4075,15001,100000,574
"M[5,3]",0.2631,0.2619,0.1142,0.004496,0.05499,0.1772,0.3443,0.4889,15001,100000,645
"M[5,4]",0.2043,0.1774,0.1491,0.003291,0.008023,0.08324,0.2986,0.5467,15001,100000,2051
"M[5,5]",0.2298,0.1989,0.1721,0.003593,0.006426,0.08223,0.3497,0.6094,15001,100000,2293
"M[5,6]",0.2527,0.2214,0.1842,0.003185,0.00858,0.09761,0.3761,0.6647,15001,100000,3342
"M[5,7]",0.2787,0.2467,0.1978,0.002861,0.01005,0.1142,0.4114,0.7189,15001,100000,4778
"M[5,8]",0.388,0.3741,0.2141,0.003092,0.03352,0.2209,0.5364,0.8375,15001,100000,4795
"M[5,9]",0.3461,0.3249,0.2155,0.002103,0.01795,0.172,0.4947,0.8079,15001,100000,10502
"M[5,10]",0.4407,0.4298,0.209,0.003597,0.07716,0.2833,0.5852,0.8737,15001,100000,3377
"M[6,1]",0.09797,0.0689,0.09585,0.003532,0.00241,0.02884,0.1362,0.3582,15001,100000,736
"M[6,2]",0.09978,0.07014,0.09533,0.003659,0.002442,0.02924,0.14,0.3567,15001,100000,678
"M[6,3]",0.3025,0.3018,0.1258,0.004717,0.06596,0.2109,0.3921,0.5457,15001,100000,711
