variable,mean,median,sd,MC_error,val2.5pc,val97.5pc,start,sample,ESS
"mu[11,4]",207.6,205.2,25.77,0.7555,163.7,265.1,15001,50000,1163
"mu[12,1]",293.7,280.1,65.62,3.66,205.1,465.4,15001,50000,321
"mu[12,2]",162.9,156.9,31.28,1.638,118,239.8,15001,50000,364
"mu[12,3]",106.3,105,13.59,0.4225,83.52,137.1,15001,50000,1034
"mu[12,4]",206.5,203.9,24.84,0.7434,164.8,262.4,15001,50000,1116
"mu[13,1]",214.1,204.6,49.16,2.679,145.4,338.7,15001,50000,336
"mu[13,2]",190,183.2,33.35,1.788,143.3,273.3,15001,50000,347
"mu[13,3]",120.8,119.6,14.48,0.4453,95.91,153.2,15001,50000,1056
"mu[13,4]",233.1,230.2,26.44,0.8075,188.5,293.1,15001,50000,1072
"mu[14,1]",363.7,344.9,91.7,5.324,236.4,599,15001,50000,296
"mu[14,2]",124.8,119.9,24.97,1.356,90.42,187.1,15001,50000,338
"mu[14,3]",157.2,155.2,16.72,0.5905,130,195.6,15001,50000,801
"mu[14,4]",281.1,277.8,30.21,0.9037,230.4,350.1,15001,50000,1117
"mu[15,1]",422.1,399.8,102.1,5.785,284,690.4,15001,50000,311
"mu[15,2]",148.4,142.8,28.11,1.496,109.1,219.4,15001,50000,353
"mu[15,3]",94.64,93.51,10.5,0.3406,76.98,118.2,15001,50000,949
"mu[15,4]",355.9,351.8,34.83,1.088,298.9,436.5,15001,50000,1025
"mu[16,1]",297.9,284.3,70.91,3.78,196.7,479.7,15001,50000,351
"mu[16,2]",232,223.4,43.33,2.237,171.7,343.4,15001,50000,375
"mu[16,3]",120.8,119.8,14.18,0.4198,96.13,152.1,15001,50000,1141
"mu[16,4]",363.9,360.2,35.15,1.09,304.9,443.9,15001,50000,1039
"mu[17,1]",244,233.3,58.91,3.091,159,390,15001,50000,363
"mu[17,2]",163.4,158.1,28.81,1.417,121.4,234.6,15001,50000,413
"mu[17,3]",188,186.9,21.34,0.5553,148.9,233.1,15001,50000,1476
"mu[17,4]",385.5,382.2,37.5,1.168,320.7,469.1,15001,50000,1029
"mu[18,1]",319,305.9,74.61,3.944,212.4,501.2,15001,50000,357
"mu[18,2]",130,126.7,21.94,1.04,97.24,183.6,15001,50000,444
"mu[18,3]",134.5,133.8,15.88,0.449,105.6,167.9,15001,50000,1251
"mu[18,4]",462.7,459.7,45.27,1.487,383,561,15001,50000,926
"mu[19,1]",414.9,399.1,92.24,4.832,282.6,641.2,15001,50000,364
"mu[19,2]",184.3,178.8,31.64,1.55,137.9,262.5,15001,50000,416
"mu[19,3]",112.1,111.3,13.25,0.3545,88.48,140.3,15001,50000,1396
"mu[19,4]",481,477.2,50.8,1.779,391.7,591.2,15001,50000,815
"mu[20,1]",448.3,429,97.7,5.101,314.1,704.4,15001,50000,366
"mu[20,2]",247.5,237.9,47.37,2.376,180.5,362.6,15001,50000,397
"mu[20,3]",152.6,151.7,17.32,0.5052,121.4,189.3,15001,50000,1175
"mu[20,4]",473.9,469.6,52.69,1.92,382.1,589.5,15001,50000,752
"mu[21,1]",396.3,380.9,87.69,4.485,271.4,612.3,15001,50000,382
"mu[21,2]",304.4,295.8,46.86,2.292,236.2,421.6,15001,50000,417
"mu[21,3]",187.4,186.7,23.81,0.8207,142.1,236.6,15001,50000,841
"mu[21,4]",481,476.8,53.04,1.923,388.9,597.3,15001,50000,760
"mu[22,1]",480.5,460.4,112.6,5.873,321.4,776.2,15001,50000,367
"mu[22,2]",223.8,216.1,36.38,1.877,173.4,316.6,15001,50000,375
"mu[22,3]",263,261.3,25.07,0.7489,218.2,317.2,15001,50000,1120
"mu[22,4]",476.2,474.4,44.21,1.257,394.7,568.8,15001,50000,1237
"mu[23,1]",463.1,441.9,106.9,5.592,315.5,735.4,15001,50000,365
"mu[23,2]",228,219.9,41.69,2.176,168.5,333.5,15001,50000,366
"mu[23,3]",188.7,188.5,14.8,0.3095,160.2,218.5,15001,50000,2286
"mu[23,4]",537.2,537.3,46.4,0.7322,446.1,628.3,15001,50000,4015
"mu[24,1]",448.4,408.6,208.4,5.865,174.3,971.6,15001,50000,1262
"mu[24,2]",234.7,229.6,93.14,2.446,73.37,435.6,15001,50000,1450
"mu[24,3]",184,184.9,27.17,0.4176,124.3,235,15001,50000,4233
"mu[24,4]",532.3,535.7,68.25,1.243,388.2,658.1,15001,50000,3016
"mu[25,1]",455.2,375,337.8,6.937,108.4,1281,15001,50000,2371
"mu[25,2]",224.1,200.1,127.6,2.543,53.91,538.7,15001,50000,2516
"mu[25,3]",186.1,183.1,74.46,0.985,53.12,338.3,15001,50000,5715
"mu[25,4]",526.4,532.4,89.99,1.891,332.8,689.1,15001,50000,2264
"mu[26,1]",471.1,348,479.8,8.569,74.19,1613,15001,50000,3135
"mu[26,2]",225.5,179.8,186.4,3.014,38.26,688.3,15001,50000,3824
"mu[26,3]",175.4,157.8,100.9,1.162,37.16,418.3,15001,50000,7533
"mu[26,4]",521.4,522.6,121.4,2.462,273.8,758.5,15001,50000,2428
"mu[27,1]",492.2,327.5,667,10.32,54.03,1891,15001,50000,4181
"mu[27,2]",231.1,164.6,257.2,3.819,27.1,846.3,15001,50000,4536
"mu[27,3]",174.6,139.4,145.1,1.654,25.46,533.7,15001,50000,7688
"mu[27,4]",507.1,501.4,151.7,3.019,225.1,826.7,15001,50000,2526
