variable,mean,median,sd,MC_error,val2.5pc,val97.5pc,start,sample,ESS
"mu[1,1]",937.6,897,284.9,14.03,502.4,1634,15001,50000,412
"mu[1,2]",519.3,493.2,149,6.444,309.8,888.9,15001,50000,534
"mu[1,3]",348,329.9,116.7,4.17,172.5,626.1,15001,50000,783
"mu[1,4]",361.4,342.7,131.8,4.299,157.1,668.6,15001,50000,940
"mu[2,1]",787.7,750.5,207.8,10.87,476.6,1286,15001,50000,365
"mu[2,2]",336.3,320.8,86.25,4.051,212.9,548.9,15001,50000,453
"mu[2,3]",418.9,398.7,111.8,4.825,263.8,690.2,15001,50000,536
"mu[2,4]",501.5,475.8,149.4,5.839,283.7,864.3,15001,50000,654
"mu[3,1]",466.4,445.3,120.5,6.424,289.9,754.9,15001,50000,351
"mu[3,2]",399.2,384.2,96.8,4.888,254.3,634.7,15001,50000,392
"mu[3,3]",265.3,256.5,54.99,2.272,183.9,397.8,15001,50000,585
"mu[3,4]",666.8,640.6,150.7,6.303,451.3,1033,15001,50000,571
"mu[4,1]",153.6,146.2,44.58,2.395,89.59,265.7,15001,50000,346
"mu[4,2]",357.2,344.9,80.74,4.13,234.7,544.9,15001,50000,382
"mu[4,3]",323.7,313.7,66.9,2.793,221.1,481.9,15001,50000,573
"mu[4,4]",663.3,643.3,127.9,5.226,470.3,964,15001,50000,599
"mu[5,1]",110.2,105.3,29.79,1.567,66.11,181.6,15001,50000,361
"mu[5,2]",84.54,81.49,20.22,1.007,54.05,131.8,15001,50000,402
"mu[5,3]",283.4,275.3,55.78,2.292,197.6,415,15001,50000,592
"mu[5,4]",737.1,718.9,126.9,5.237,543.1,1031,15001,50000,586
"mu[6,1]",122.3,117.7,32.02,1.787,73.37,197,15001,50000,320
"mu[6,2]",56.75,54.47,15.19,0.6921,33.7,92.93,15001,50000,481
"mu[6,3]",64.89,63.23,13.35,0.4976,43.5,95.72,15001,50000,719
"mu[6,4]",764.7,748,116.1,4.717,584.1,1037,15001,50000,605
"mu[7,1]",152.9,145.4,38.81,2.204,97.13,245.4,15001,50000,310
"mu[7,2]",66.13,63.88,14.85,0.7023,43.18,102,15001,50000,447
"mu[7,3]",39.81,39.31,7.875,0.1927,25.59,56.85,15001,50000,1670
"mu[7,4]",607.4,598.4,78.81,2.814,478.1,788,15001,50000,784
"mu[8,1]",161.5,154.4,39.07,2.148,106.5,263.2,15001,50000,330
"mu[8,2]",77.2,74.54,17.34,0.8295,50.94,118.7,15001,50000,436
"mu[8,3]",46.32,45.89,8.37,0.232,31.16,63.91,15001,50000,1301
"mu[8,4]",454.2,448.4,57.02,1.799,358.3,584.9,15001,50000,1004
"mu[9,1]",243.5,230.6,62.73,3.64,161.5,395.2,15001,50000,296
"mu[9,2]",99.22,95.53,20.47,1.072,69.22,149,15001,50000,364
"mu[9,3]",52.69,52.14,8.895,0.2519,36.6,71.74,15001,50000,1247
"mu[9,4]",317.6,314,39.4,1.098,250.4,406,15001,50000,1287
"mu[10,1]",294.9,279.7,72.83,4.184,197.6,488.6,15001,50000,303
"mu[10,2]",122.3,117.8,25.19,1.314,85.95,184,15001,50000,367
"mu[10,3]",64.55,63.88,9.358,0.2755,47.86,84.73,15001,50000,1153
"mu[10,4]",233.8,231.4,29.62,0.9189,182.1,299,15001,50000,1039
"mu[11,1]",315.4,299.4,80.56,4.632,207.1,523.4,15001,50000,302
"mu[11,2]",157.9,152.7,31.85,1.653,110.4,236.9,15001,50000,371
"mu[11,3]",82.34,81.33,10.9,0.3427,63.68,106.7,15001,50000,1011
