variable,mean,median,sd,MC_error,val2.5pc,val97.5pc,start,sample,ESS
"mu[1,1]",1246,1175,372.1,19.52,752.1,2155,15001,50000,363
"mu[1,2]",600.9,564.6,190.3,8.08,344.3,1073,15001,50000,554
"mu[1,3]",406.1,384.4,139.8,4.662,196.8,743.6,15001,50000,899
"mu[1,4]",423.3,402.2,154.4,4.603,182,789,15001,50000,1125
"mu[2,1]",869.1,823.7,247.3,12.98,538.1,1472,15001,50000,362
"mu[2,2]",363.5,337.7,118.8,5.566,214.7,666.3,15001,50000,455
"mu[2,3]",478.4,456.5,127.7,4.985,295.5,792.7,15001,50000,656
"mu[2,4]",561.5,533.5,168.8,6.111,315.7,968.5,15001,50000,762
"mu[3,1]",478.2,451.9,136.7,7.228,296.5,816.9,15001,50000,357
"mu[3,2]",383.6,367.8,97.78,4.604,244.6,615.6,15001,50000,451
"mu[3,3]",263.8,254.4,56.16,2.025,181.1,395.3,15001,50000,769
"mu[3,4]",711.1,686.2,160.3,5.995,474.6,1088,15001,50000,715
"mu[4,1]",152.7,142.1,51.45,2.68,85.78,284.6,15001,50000,368
"mu[4,2]",341,327.7,82.3,4.084,225.1,540.9,15001,50000,406
"mu[4,3]",311,301.6,66.1,2.426,210.2,459.6,15001,50000,742
"mu[4,4]",647.3,628.3,132.1,4.919,446.2,951.4,15001,50000,720
"mu[5,1]",111.9,103.3,39.08,2.162,62.59,210.7,15001,50000,326
"mu[5,2]",79.5,76.42,19.68,0.9361,51.05,125.3,15001,50000,441
"mu[5,3]",281.5,273.6,56,2.082,195.8,407.4,15001,50000,723
"mu[5,4]",708,690.3,128.4,4.745,512.1,1005,15001,50000,732
"mu[6,1]",123,115.1,36.99,2.092,75.29,212,15001,50000,312
"mu[6,2]",55.24,52.87,15.05,0.6816,32.61,91.22,15001,50000,487
"mu[6,3]",63.03,61.37,13.61,0.4609,41.24,93.97,15001,50000,872
"mu[6,4]",747.3,730.6,116.2,4.264,571.7,1013,15001,50000,742
"mu[7,1]",148.2,141.5,39.44,2.267,92.36,244.5,15001,50000,302
"mu[7,2]",65.12,63.43,14,0.6661,42.95,97.15,15001,50000,441
"mu[7,3]",38.5,38.2,7.906,0.1757,23.9,54.97,15001,50000,2024
"mu[7,4]",603.6,594.3,80.71,2.817,472.4,787.2,15001,50000,820
"mu[8,1]",170.8,162.4,43.18,2.495,111.4,276.8,15001,50000,299
"mu[8,2]",77.13,74.76,16.97,0.8307,50.88,117,15001,50000,417
"mu[8,3]",46.4,46.02,8.888,0.2429,30.12,65.34,15001,50000,1339
"mu[8,4]",458,451.6,60.58,2.038,357.2,594.8,15001,50000,883
"mu[9,1]",250.2,233.8,69.42,4.219,162.2,429.4,15001,50000,270
"mu[9,2]",99.46,97,19.22,1.013,69.81,143.7,15001,50000,360
"mu[9,3]",51.65,51.21,9.391,0.2644,34.62,71.41,15001,50000,1261
"mu[9,4]",314.9,311.1,41.51,1.285,244.6,407.9,15001,50000,1043
"mu[10,1]",296.8,280.3,82.18,4.999,190.3,507.4,15001,50000,270
"mu[10,2]",121.5,118.4,23.42,1.239,85.87,175.4,15001,50000,357
"mu[10,3]",62.79,62.15,9.97,0.3145,45.26,84.94,15001,50000,1005
"mu[10,4]",229.3,226.7,30.12,0.9853,177.7,296.4,15001,50000,934
"mu[11,1]",319.5,305.4,80.24,4.778,203.3,512.3,15001,50000,281
"mu[11,2]",158.6,154.8,30.45,1.606,111.8,228.9,15001,50000,359
"mu[11,3]",80.9,79.83,11.08,0.3737,61.95,105.8,15001,50000,879
"mu[11,4]",207.5,204.4,27.31,0.8817,162.6,269.6,15001,50000,959
"mu[12,1]",306.7,289.4,80.1,4.832,204.2,507,15001,50000,274
"mu[12,2]",161.4,156.9,29.89,1.598,118.1,230.8,15001,50000,349
"mu[12,3]",104.5,103,13.95,0.4636,81.02,136.3,15001,50000,905
"mu[12,4]",205.7,202.8,26.03,0.8597,162.9,264.8,15001,50000,917
