variable,mean,median,sd,MC_error,val2.5pc,val97.5pc,start,sample,ESS
"mu[13,1]",223.9,212.7,57.36,3.337,148,371,15001,50000,295
"mu[13,2]",185.7,181,30.28,1.629,142.6,254.8,15001,50000,345
"mu[13,3]",119.7,118.1,15.67,0.5407,93.51,155.1,15001,50000,839
"mu[13,4]",227.8,224.9,27.25,0.9216,182.1,289.1,15001,50000,874
"mu[14,1]",370.9,348,104.9,6.432,236.4,615.9,15001,50000,265
"mu[14,2]",122.3,119,22.4,1.212,89.9,174.2,15001,50000,341
"mu[14,3]",158.7,156.6,17.23,0.6712,131.3,197.9,15001,50000,658
"mu[14,4]",278.4,274.6,32.14,1.08,225.5,352.6,15001,50000,886
"mu[15,1]",419.9,392.6,120.7,7.425,266.8,755.9,15001,50000,264
"mu[15,2]",144.7,140.8,25.05,1.324,107.6,204,15001,50000,358
"mu[15,3]",93.38,92.19,10.96,0.3941,75.14,118.6,15001,50000,772
"mu[15,4]",359.1,354.1,37.72,1.342,298.7,447.5,15001,50000,789
"mu[16,1]",315,297.1,83.83,4.861,198.2,525.8,15001,50000,297
"mu[16,2]",229.9,224.6,38.14,1.923,171.2,317.7,15001,50000,393
"mu[16,3]",122.2,120.8,14.96,0.5103,96.55,155.3,15001,50000,859
"mu[16,4]",369.2,364.8,38.63,1.349,305.7,459.1,15001,50000,820
"mu[17,1]",266.2,253.3,66.88,3.657,170.7,428.7,15001,50000,334
"mu[17,2]",165.3,162.2,25.18,1.138,124.6,224.1,15001,50000,489
"mu[17,3]",190.7,189.6,22.65,0.6853,149.3,238.6,15001,50000,1092
"mu[17,4]",392.1,389,40.49,1.349,321.2,479.9,15001,50000,901
"mu[18,1]",354.9,338.7,91.94,5.264,225.7,579.9,15001,50000,305
"mu[18,2]",131,129.2,19.35,0.8657,98.58,175.6,15001,50000,499
"mu[18,3]",139,138.4,17.37,0.5596,106.7,174.3,15001,50000,963
"mu[18,4]",475.7,472.1,50.18,1.821,387,583.5,15001,50000,759
"mu[19,1]",446.5,425.1,109.5,6.201,296.4,726.5,15001,50000,311
"mu[19,2]",186.3,182.8,28.36,1.321,141,253.3,15001,50000,461
"mu[19,3]",116.8,116,14.39,0.4372,91.38,147.1,15001,50000,1082
"mu[19,4]",500.3,496,56.74,2.158,401.1,622.8,15001,50000,691
"mu[20,1]",471.8,449.9,112.8,6.381,314.7,761.3,15001,50000,312
"mu[20,2]",257.5,252.8,42.66,2.087,187.8,356.2,15001,50000,417
"mu[20,3]",156.8,155.8,18.47,0.5872,123.5,195.6,15001,50000,989
"mu[20,4]",499.5,495.4,58.73,2.273,397.3,626.1,15001,50000,667
"mu[21,1]",430.2,409.7,105.1,5.949,280.4,694.5,15001,50000,312
"mu[21,2]",309.5,304.3,41.91,1.952,241.6,409.3,15001,50000,460
"mu[21,3]",186.2,185.4,27,1.063,135.8,241.2,15001,50000,645
"mu[21,4]",509.9,505.1,59.45,2.26,407.1,639.8,15001,50000,692
"mu[22,1]",500.6,480.6,119.6,6.786,330,792.3,15001,50000,310
"mu[22,2]",227.2,222.5,31.67,1.561,177.6,302.8,15001,50000,411
"mu[22,3]",272.1,270.6,26.63,0.8726,224.5,328.9,15001,50000,931
"mu[22,4]",484.9,482.4,48.4,1.554,396.5,588.6,15001,50000,970
"mu[23,1]",494.5,467.3,121.1,6.981,336.3,817.2,15001,50000,301
"mu[23,2]",216.6,211.8,36.02,1.849,161.2,301.4,15001,50000,379
"mu[23,3]",188.5,188.4,15.17,0.3422,159,218.7,15001,50000,1965
"mu[23,4]",550.3,549.9,40.13,0.7167,473,630.7,15001,50000,3134
"mu[24,1]",569.4,542.4,131.6,7.52,393.2,911.4,15001,50000,306
"mu[24,2]",168.7,164.7,27.19,1.408,127.7,233.7,15001,50000,373
"mu[24,3]",142.9,143.1,12.31,0.2162,118.3,166.5,15001,50000,3241
"mu[24,4]",556,555.5,40.63,0.5772,478.3,637.7,15001,50000,4955
"mu[25,1]",468.3,443.1,119.4,6.635,308.3,775.5,15001,50000,324
"mu[25,2]",355.2,348.2,63.24,2.864,250.3,501.9,15001,50000,487
"mu[25,3]",119,119.1,13.2,0.3081,92.78,144.5,15001,50000,1835
"mu[25,4]",500.8,500.9,34.21,0.4308,432.9,567.5,15001,50000,6308
"mu[26,1]",295.9,281.3,72.02,3.91,197,482.5,15001,50000,339
"mu[26,2]",295,288.1,49.48,2.465,218.8,414,15001,50000,402
"mu[26,3]",146.7,146.6,17.71,0.2909,112.7,181.7,15001,50000,3703
"mu[26,4]",456.7,456.8,33.65,0.3155,389.8,522.5,15001,50000,11376
"mu[27,1]",306.3,273.6,169.4,4.066,108.3,700.9,15001,50000,1735
"mu[27,2]",156.9,155.2,62.91,1.817,40.96,287.6,15001,50000,1198
"mu[27,3]",162.6,163.9,62.05,1.635,40.17,277.4,15001,50000,1440
"mu[27,4]",436,438.2,57.77,0.7934,314.4,543.7,15001,50000,5300
"mu[28,1]",342.4,271.3,345.9,5.374,69.34,1036,15001,50000,4143
"mu[28,2]",154.1,135.5,101.8,1.87,27.2,392.9,15001,50000,2962
"mu[28,3]",95.24,91.12,52.49,1.314,8.817,206.7,15001,50000,1596
"mu[28,4]",435,437.5,94.42,2.199,241.1,613.6,15001,50000,1843
"mu[29,1]",387,266.6,644.2,7.664,47.58,1423,15001,50000,7064
"mu[29,2]",168.3,128.8,176.4,2.422,19.22,549.3,15001,50000,5302
"mu[29,3]",97.99,82.78,76.64,1.415,5.239,277.6,15001,50000,2933
"mu[29,4]",384.4,385,113.7,2.933,156,605.2,15001,50000,1502
"mu[30,1]",438.8,259.9,1090,11.11,33.88,1848,15001,50000,9624
"mu[30,2]",188.9,124.1,332.1,3.551,13.7,735.4,15001,50000,8747
"mu[30,3]",109.8,80.18,126.9,1.781,3.895,383.8,15001,50000,5077
"mu[30,4]",350.1,346.7,132.5,3.46,102.3,623.8,15001,50000,1465
