variable,mean,median,sd,MC_error,val2.5pc,val25.0pc,val75.0pc,val97.5pc,start,sample,ESS
p.mat[1],0.4497,0.4384,0.1829,0.005847,0.1347,0.3098,0.5853,0.8068,15001,100000,978
p.mat[2],0.3888,0.3727,0.08486,0.003808,0.2687,0.3295,0.4305,0.5976,15001,100000,496
p.mat[3],0.5751,0.5626,0.0878,0.004006,0.4387,0.5147,0.6198,0.7958,15001,100000,480
p.mat[4],0.8452,0.8492,0.06027,0.002321,0.7201,0.805,0.89,0.9504,15001,100000,674
p.mat[5],0.6639,0.652,0.1166,0.004413,0.4655,0.5798,0.739,0.9183,15001,100000,697
p.mat[6],0.6055,0.5953,0.1448,0.005167,0.3504,0.4986,0.7046,0.9059,15001,100000,785
p.mat[7],0.6439,0.6351,0.1335,0.004663,0.4046,0.5477,0.7341,0.9222,15001,100000,819
p.mat[8],0.6632,0.6563,0.1307,0.004922,0.4237,0.5686,0.7549,0.9236,15001,100000,705
p.mat[9],0.7084,0.7052,0.1079,0.003693,0.5077,0.6316,0.7831,0.9221,15001,100000,853
p.mat[10],0.6402,0.6246,0.1183,0.004756,0.4473,0.5531,0.7155,0.901,15001,100000,618
p.mat[11],0.6449,0.6365,0.1101,0.004598,0.4507,0.5675,0.7128,0.889,15001,100000,573
p.mat[12],0.6465,0.6339,0.1125,0.005027,0.4539,0.5673,0.7159,0.8995,15001,100000,501
p.mat[13],0.7503,0.7487,0.08361,0.003117,0.5928,0.6909,0.8085,0.9154,15001,100000,719
p.mat[14],0.6122,0.6071,0.08671,0.00299,0.4553,0.5521,0.6666,0.7968,15001,100000,840
p.mat[15],0.4678,0.4586,0.07873,0.003151,0.3415,0.4146,0.51,0.651,15001,100000,624
p.mat[16],0.6516,0.6468,0.08766,0.003431,0.4932,0.5898,0.7086,0.8356,15001,100000,652
p.mat[17],0.6442,0.6376,0.09737,0.003523,0.4725,0.5747,0.7072,0.8529,15001,100000,763
p.mat[18],0.5774,0.5682,0.09623,0.003142,0.4142,0.5095,0.6347,0.7967,15001,100000,937
p.mat[19],0.6012,0.593,0.09352,0.003641,0.4382,0.5359,0.6584,0.8105,15001,100000,659
p.mat[20],0.6587,0.6541,0.09263,0.003638,0.4852,0.5966,0.7167,0.8559,15001,100000,648
p.mat[21],0.762,0.7639,0.08308,0.002864,0.5896,0.7074,0.8201,0.9168,15001,100000,841
p.mat[22],0.6122,0.607,0.08567,0.003111,0.4575,0.5536,0.6652,0.7965,15001,100000,758
p.mat[23],0.5217,0.5137,0.08333,0.003106,0.3788,0.4655,0.5686,0.7139,15001,100000,719
p.mat[24],0.4467,0.427,0.09766,0.003858,0.3146,0.3827,0.4855,0.7122,15001,100000,640
p.mat[25],0.7153,0.712,0.09492,0.003295,0.5384,0.6486,0.7797,0.9096,15001,100000,829
p.mat[26],0.8025,0.8059,0.08857,0.003135,0.6246,0.7404,0.8703,0.9552,15001,100000,798
p.mat[27],0.7637,0.7631,0.1061,0.003776,0.561,0.6857,0.8455,0.9544,15001,100000,789
p.mat[28],0.6045,0.5805,0.1481,0.005739,0.3742,0.4903,0.7041,0.9267,15001,100000,665
p.mat[29],0.4882,0.4516,0.1484,0.005416,0.2918,0.3827,0.5578,0.8847,15001,100000,750
p.mat[30],0.5606,0.5662,0.1965,0.003785,0.1817,0.4163,0.7097,0.9143,15001,100000,2693
p.mat[31],0.5808,0.5925,0.203,0.003584,0.1734,0.4345,0.739,0.9258,15001,100000,3208
p.mat[32],0.5882,0.6024,0.2059,0.003559,0.1724,0.4396,0.7507,0.9325,15001,100000,3347
p.mat[33],0.5913,0.6066,0.206,0.003523,0.1733,0.443,0.7526,0.9337,15001,100000,3419
