variable,mean,median,sd,MC_error,val2.5pc,val97.5pc,start,sample,ESS
"mu[12,3]",108,106.5,14.6,0.485,83.37,141.3,15001,50000,906
"mu[12,4]",212.8,209.6,26.86,0.8915,168.8,273.7,15001,50000,907
"mu[13,1]",225.3,214.5,56.28,3.146,149.7,359.8,15001,50000,319
"mu[13,2]",197.3,191.3,35.98,1.95,143,280.4,15001,50000,340
"mu[13,3]",123.4,121.8,15.69,0.5144,96.77,159,15001,50000,930
"mu[13,4]",239,235.4,28.99,0.9919,191.3,305.8,15001,50000,854
"mu[14,1]",387.1,370.2,106.5,6.2,238.5,637.2,15001,50000,295
"mu[14,2]",131.1,126.4,27.05,1.485,90.73,193.2,15001,50000,331
"mu[14,3]",161.5,159.1,18.39,0.6793,132,203.1,15001,50000,733
"mu[14,4]",288.1,283.9,33.68,1.121,233.3,366.4,15001,50000,902
"mu[15,1]",430.3,412.2,112.2,6.382,275.1,727.2,15001,50000,309
"mu[15,2]",154.8,150.1,30.07,1.614,109.2,224.2,15001,50000,347
"mu[15,3]",96,94.68,11.6,0.4088,76.82,122.7,15001,50000,805
"mu[15,4]",364.4,359.3,38.07,1.261,303.4,451.1,15001,50000,911
"mu[16,1]",308,294.9,77.86,4.21,200,498.7,15001,50000,342
"mu[16,2]",242.8,235.6,46,2.385,172.6,350.7,15001,50000,371
"mu[16,3]",123.4,122.1,15.43,0.5159,97.42,158,15001,50000,894
"mu[16,4]",371.1,366.6,37.82,1.231,308.6,456.2,15001,50000,943
"mu[17,1]",256.3,246.6,62.13,3.297,164.1,402.9,15001,50000,355
"mu[17,2]",171.3,166.7,30.59,1.537,123.9,242.3,15001,50000,396
"mu[17,3]",189.8,188.5,22.27,0.5952,149.6,237.1,15001,50000,1400
"mu[17,4]",390.9,387.7,38.49,1.232,324.6,475.6,15001,50000,976
"mu[18,1]",334.6,321.9,82.48,4.557,211.2,529.6,15001,50000,327
"mu[18,2]",135.5,132.4,23.58,1.176,97.42,188.9,15001,50000,401
"mu[18,3]",136.4,135.6,16.21,0.4606,106.8,170.9,15001,50000,1238
"mu[18,4]",467.8,464.4,45.73,1.51,388.8,568.2,15001,50000,917
"mu[19,1]",427.3,408,108.8,6.066,271.9,686.5,15001,50000,321
"mu[19,2]",191.5,186.3,34.08,1.759,139.1,269.8,15001,50000,375
"mu[19,3]",115,114,14.12,0.4352,89.93,145.2,15001,50000,1052
"mu[19,4]",485.9,481.7,50.36,1.733,399,597.4,15001,50000,844
"mu[20,1]",470.2,449.4,114.1,6.221,315,755.5,15001,50000,336
"mu[20,2]",260.7,254.6,49.8,2.587,183,371.9,15001,50000,370
"mu[20,3]",154.4,153.4,17.31,0.5119,123.5,191.2,15001,50000,1142
"mu[20,4]",479.2,475.1,51.69,1.806,390.2,592.6,15001,50000,819
"mu[21,1]",411.2,396.6,98.11,5.268,269.4,637.9,15001,50000,346
"mu[21,2]",315.9,308.8,49.15,2.503,239.3,429.1,15001,50000,385
"mu[21,3]",186.8,186.1,23.39,0.8304,143.4,235.9,15001,50000,793
"mu[21,4]",487.9,483.7,51.62,1.797,398.4,602.2,15001,50000,825
"mu[22,1]",495.8,473.7,121.4,6.531,328.5,792.7,15001,50000,345
"mu[22,2]",235.3,229.3,39.45,2.101,174.2,324.6,15001,50000,352
"mu[22,3]",266.4,264.5,25.38,0.8007,221.6,321.7,15001,50000,1004
"mu[22,4]",485.5,483.7,43.41,1.272,405.4,576.3,15001,50000,1165
"mu[23,1]",481.7,461.7,111.7,6.056,323.9,752.6,15001,50000,340
"mu[23,2]",222.6,217.1,45.21,2.48,154.3,323.6,15001,50000,332
"mu[23,3]",187.2,187.1,14.79,0.3462,159.1,216.9,15001,50000,1826
"mu[23,4]",564.8,564.6,39.63,0.6762,487.6,643.5,15001,50000,3434
"mu[24,1]",529,506.9,128.3,6.779,347.6,841.1,15001,50000,358
"mu[24,2]",173,168.3,32.7,1.744,123.5,247.9,15001,50000,351
"mu[24,3]",147,147.4,12.49,0.2842,121.9,170.9,15001,50000,1932
"mu[24,4]",581.7,581.7,45.73,0.482,492.2,671.3,15001,50000,9002
"mu[25,1]",537.9,488,248,8.181,218.4,1153,15001,50000,918
"mu[25,2]",230.7,221.3,104.5,2.911,57.36,460.3,15001,50000,1290
"mu[25,3]",119.9,122.2,24.2,0.3777,65.84,162.8,15001,50000,4105
"mu[25,4]",550.7,551.2,62.34,0.7567,424.5,671.8,15001,50000,6786
"mu[26,1]",556.9,466.2,382.7,9.886,150.7,1499,15001,50000,1498
"mu[26,2]",240.6,214.1,143.5,3.416,47.4,593.4,15001,50000,1763
"mu[26,3]",163.4,156.9,78.71,1.325,34.08,332.7,15001,50000,3527
"mu[26,4]",496.3,497.5,76.22,1.025,341.4,645.6,15001,50000,5524
"mu[27,1]",582.3,447.4,525,11.64,111.9,1846,15001,50000,2034
"mu[27,2]",251.4,203.7,199.4,4.135,36.9,754,15001,50000,2325
"mu[27,3]",171.5,153.1,105.6,1.595,26.38,423.1,15001,50000,4385
"mu[27,4]",483.7,481,108.8,1.725,274,706.9,15001,50000,3977
"mu[28,1]",610.6,433.4,677.2,13.62,89.21,2168,15001,50000,2470
"mu[28,2]",264.2,195.9,262.4,4.998,30.28,907.9,15001,50000,2757
"mu[28,3]",179.4,145.6,145,2.075,20.76,542.6,15001,50000,4882
"mu[28,4]",484.7,476.2,147.2,2.699,219.9,802.8,15001,50000,2976
