variable,mean,median,sd,MC_error,val2.5pc,val97.5pc,start,sample,ESS
"mu[1,1]",915.8,854.2,320.6,16.34,473.8,1716,15001,50000,384
"mu[1,2]",513.3,484.1,151.3,6.6,302.1,888.6,15001,50000,525
"mu[1,3]",333.8,317.6,109.3,3.515,165,594.8,15001,50000,966
"mu[1,4]",349.7,331.3,125.6,3.662,152.5,646.5,15001,50000,1176
"mu[2,1]",792.7,755.4,225.2,11.8,456.5,1342,15001,50000,363
"mu[2,2]",345.3,329,92.12,4.353,212.9,569.1,15001,50000,447
"mu[2,3]",404.1,384.7,104.3,4.157,257.9,659.6,15001,50000,629
"mu[2,4]",487,463.8,138.4,4.886,283.2,815,15001,50000,802
"mu[3,1]",488.6,464.5,137.4,7.54,291.7,822,15001,50000,332
"mu[3,2]",416.8,401.6,102.2,5.232,261.6,655.1,15001,50000,381
"mu[3,3]",266.2,257.9,54.58,2.118,183,394.6,15001,50000,664
"mu[3,4]",667.6,642.3,148.7,5.723,451.7,1020,15001,50000,675
"mu[4,1]",169.2,160.1,55.76,3.194,89.96,308.7,15001,50000,304
"mu[4,2]",374.8,361.6,91.39,4.841,237,587.9,15001,50000,356
"mu[4,3]",329.8,321.8,67.59,2.735,222.4,485.6,15001,50000,610
"mu[4,4]",678,658.8,129.5,5.015,478.6,977.9,15001,50000,666
"mu[5,1]",116.7,110.6,34.26,1.857,68.08,199.8,15001,50000,340
"mu[5,2]",89.08,85.83,22.73,1.166,54.5,142.6,15001,50000,380
"mu[5,3]",285,276.9,57.98,2.294,194.5,419.4,15001,50000,639
"mu[5,4]",759.2,741.7,132,5.418,554.1,1063,15001,50000,593
"mu[6,1]",128.8,121.5,39.23,2.294,75.3,224.9,15001,50000,292
"mu[6,2]",60.91,57.95,17.21,0.8303,35.29,102.2,15001,50000,429
"mu[6,3]",65.51,64.04,13.57,0.4821,42.96,95.8,15001,50000,792
"mu[6,4]",787.3,771.9,121.6,4.929,595.3,1065,15001,50000,608
"mu[7,1]",155.9,147.3,46.33,2.719,91.66,275.7,15001,50000,290
"mu[7,2]",68.9,66.79,16.07,0.7814,43.59,105.7,15001,50000,423
"mu[7,3]",40.6,40.16,8.181,0.2144,25.85,58.11,15001,50000,1455
"mu[7,4]",624.3,615,83.07,2.966,487.5,811.1,15001,50000,784
"mu[8,1]",170.6,163.5,42.1,2.336,109.3,267.7,15001,50000,324
"mu[8,2]",79.4,76.71,18.45,0.9058,50.54,121.4,15001,50000,415
"mu[8,3]",47.2,46.74,8.919,0.2538,31,66,15001,50000,1234
"mu[8,4]",465,458.4,60.89,1.935,364.6,601.8,15001,50000,990
"mu[9,1]",253.8,241.9,67.29,3.944,159.4,416,15001,50000,291
"mu[9,2]",103.8,100.9,22.11,1.174,69.16,154,15001,50000,354
"mu[9,3]",53.59,53.01,9.189,0.2609,37.08,73.16,15001,50000,1240
"mu[9,4]",324.1,319.7,42.51,1.278,252.4,419.2,15001,50000,1107
"mu[10,1]",304.8,289.9,83.42,4.82,188.6,510.8,15001,50000,299
"mu[10,2]",127.2,123.2,27.79,1.495,84.27,192.1,15001,50000,345
"mu[10,3]",65.87,65.06,10.21,0.3487,48.04,88.44,15001,50000,856
"mu[10,4]",238.7,235.8,32.47,1.127,182.1,312.4,15001,50000,830
"mu[11,1]",336.4,320.1,91.78,5.373,214.9,544.8,15001,50000,291
"mu[11,2]",166.3,161.2,36.71,1.966,109.3,248,15001,50000,348
"mu[11,3]",83.85,82.68,11.75,0.408,63.82,110.3,15001,50000,829
"mu[11,4]",213.4,210.2,28.14,0.9298,166.4,276.6,15001,50000,915
"mu[12,1]",307.6,294.8,75.6,4.289,201.2,484.9,15001,50000,310
"mu[12,2]",169.7,164.9,34.16,1.822,117.7,249.7,15001,50000,351
