variable,mean,median,sd,MC_error,val2.5pc,val97.5pc,start,sample,ESS
"mu[10,3]",64.51,63.82,9.623,0.3068,47.39,85.64,15001,50000,983
"mu[10,4]",230.8,228.5,30.21,0.9717,176.9,296.7,15001,50000,966
"mu[11,1]",306.5,293.8,70.58,4.034,210.5,486.8,15001,50000,306
"mu[11,2]",150.3,145.4,30.39,1.607,106.1,224.3,15001,50000,357
"mu[11,3]",82.36,81.42,10.89,0.3292,63.68,106.7,15001,50000,1095
"mu[11,4]",206.8,204.1,26.26,0.8108,163,266.7,15001,50000,1049
"mu[12,1]",275.9,264.7,61.47,3.454,193.9,429,15001,50000,316
"mu[12,2]",154.7,149.8,28.52,1.511,113.7,223.3,15001,50000,356
"mu[12,3]",106.5,105.2,13.67,0.4379,83.06,137.1,15001,50000,974
"mu[12,4]",206.2,203.5,25.18,0.7693,164.6,263.4,15001,50000,1070
"mu[13,1]",212.4,202.4,51.16,2.875,143.3,338.2,15001,50000,316
"mu[13,2]",182.2,177.3,29.6,1.566,139.4,252.9,15001,50000,357
"mu[13,3]",119.8,118.4,14.49,0.4459,95.18,152.5,15001,50000,1056
"mu[13,4]",232.1,229.2,26.95,0.8449,188,294.1,15001,50000,1017
"mu[14,1]",352.2,337.7,82.28,4.701,235.7,556,15001,50000,306
"mu[14,2]",117.9,114.2,21.47,1.141,87.48,170.2,15001,50000,354
"mu[14,3]",156.7,154.4,17.13,0.641,129.5,196.6,15001,50000,713
"mu[14,4]",280.6,277,31.33,0.9724,229.8,353.4,15001,50000,1038
"mu[15,1]",386,370.1,83.31,4.672,265.3,594.7,15001,50000,318
"mu[15,2]",140.3,136.6,23.91,1.237,105.1,197.6,15001,50000,373
"mu[15,3]",94.39,93.12,10.52,0.3448,77.01,118.4,15001,50000,929
"mu[15,4]",357.3,352.6,36.63,1.213,298.8,442.5,15001,50000,912
"mu[16,1]",286.6,276.1,64.19,3.426,191.7,443.1,15001,50000,351
"mu[16,2]",221.7,215.8,36.63,1.81,167,309.8,15001,50000,409
"mu[16,3]",119.7,118.5,14.14,0.4599,95.69,151.3,15001,50000,945
"mu[16,4]",367.1,363,36.51,1.195,306.8,450.6,15001,50000,932
"mu[17,1]",240.3,231.7,57.03,3.008,157,375.8,15001,50000,359
"mu[17,2]",158.4,154.9,24.65,1.152,119.6,217,15001,50000,457
"mu[17,3]",189,187.7,20.88,0.578,150.8,233.7,15001,50000,1304
"mu[17,4]",388.4,385.5,37.97,1.206,321.8,471.4,15001,50000,990
"mu[18,1]",320.5,306.9,78.82,4.352,205.3,505.6,15001,50000,327
"mu[18,2]",126.5,124.1,19.52,0.8967,95.16,171.4,15001,50000,473
"mu[18,3]",136.5,135.7,15.94,0.4474,107.4,170,15001,50000,1268
"mu[18,4]",468.7,465.9,44.68,1.48,389.2,565,15001,50000,911
"mu[19,1]",410.9,396.4,89.42,4.709,282,627.4,15001,50000,360
"mu[19,2]",179.3,175.3,28.08,1.314,135.8,245.1,15001,50000,456
"mu[19,3]",112.8,112,13.35,0.3942,89.19,141.5,15001,50000,1146
"mu[19,4]",490.3,487.3,50.73,1.779,400.1,598.7,15001,50000,813
"mu[20,1]",436.6,421.4,89.8,4.696,306.7,650.7,15001,50000,365
"mu[20,2]",241.7,235,41.72,1.995,178.1,337.6,15001,50000,437
"mu[20,3]",153.7,152.8,16.89,0.4872,122.7,189.4,15001,50000,1201
"mu[20,4]",484.4,481.2,52.67,1.936,391.6,598.5,15001,50000,740
"mu[21,1]",388,374.4,86.5,4.609,259.6,600.1,15001,50000,352
"mu[21,2]",298.6,292.8,41.7,1.974,232.6,395.6,15001,50000,446
"mu[21,3]",188.5,188.2,23.67,0.8287,143.3,236.2,15001,50000,815
"mu[21,4]",492.8,489.2,53.02,1.925,400.1,608,15001,50000,758
"mu[22,1]",457.3,440.4,98.55,5.214,316.5,698.1,15001,50000,357
"mu[22,2]",218.2,213.1,31.81,1.579,170.2,294,15001,50000,405
"mu[22,3]",263.8,262.2,24.65,0.7679,219.5,316.3,15001,50000,1030
"mu[22,4]",485.1,483.4,44.65,1.345,402.8,577.8,15001,50000,1102
"mu[23,1]",453.4,437,99.36,5.392,313.7,709.5,15001,50000,339
"mu[23,2]",203.9,198.1,36.96,1.908,150.9,290.2,15001,50000,375
"mu[23,3]",185,184.7,14.64,0.3425,157.1,214.3,15001,50000,1827
"mu[23,4]",550.4,549.7,38.95,0.6752,475.8,627.8,15001,50000,3327
"mu[24,1]",534.1,512.3,111.8,6.059,383.1,818.7,15001,50000,340
"mu[24,2]",159.9,154.9,26.38,1.358,122.1,223.1,15001,50000,377
"mu[24,3]",147.8,148.1,12.44,0.2835,122.6,171.1,15001,50000,1924
"mu[24,4]",549,548.3,38.76,0.5398,475,626.9,15001,50000,5157
"mu[25,1]",448.1,431,115.1,5.193,275.5,723.5,15001,50000,491
"mu[25,2]",364.6,354.6,65.03,3.084,263.7,519.4,15001,50000,444
"mu[25,3]",125,125.3,12.03,0.1514,100.5,148,15001,50000,6313
"mu[25,4]",494.3,495,41.26,0.6149,411.3,573.9,15001,50000,4501
"mu[26,1]",494.8,445.2,246.5,5.831,179.9,1100,15001,50000,1786
"mu[26,2]",249.7,243.5,96.72,2.412,81.66,460.9,15001,50000,1607
"mu[26,3]",281.2,284.7,53.66,0.6611,163.1,380,15001,50000,6588
"mu[26,4]",440.5,443.4,60,1.223,312.9,550.6,15001,50000,2407
"mu[27,1]",551.4,451.5,416.3,7.174,132.4,1530,15001,50000,3367
"mu[27,2]",258.6,227.8,153.8,2.483,61.11,634.4,15001,50000,3840
"mu[27,3]",192,188.2,79.31,1.088,53.2,358.2,15001,50000,5316
"mu[27,4]",519.3,526.2,99.8,2.244,303.4,698,15001,50000,1977
"mu[28,1]",606,449.8,624.7,9.067,103.1,2042,15001,50000,4746
"mu[28,2]",280.8,223.6,235.4,3.109,45.86,844.9,15001,50000,5731
"mu[28,3]",198.5,174.6,125.2,1.284,36.82,498.6,15001,50000,9506
"mu[28,4]",518.8,522.3,137,3.101,237.8,781.7,15001,50000,1951
"mu[29,1]",662.4,441.3,889,11.75,80.31,2555,15001,50000,5724
"mu[29,2]",303.1,216.4,337.7,3.973,35.28,1083,15001,50000,7224
"mu[29,3]",215.1,169.6,190.2,1.941,26.33,670,15001,50000,9600
"mu[29,4]",522.2,514.8,180.2,3.755,191.6,902.2,15001,50000,2301
