variable,mean,median,sd,MC_error,val2.5pc,val97.5pc,start,sample,ESS
"mu[1,1]",1049,995,350.2,18.91,540.8,1887,15001,50000,342
"mu[1,2]",547.4,517.1,170.1,7.667,311.4,957.7,15001,50000,492
"mu[1,3]",381.3,358.1,135.6,5.121,182.8,710.6,15001,50000,700
"mu[1,4]",398.6,374.7,151.6,5.305,169.7,764.3,15001,50000,816
"mu[2,1]",792.2,756.6,223.9,11.68,463.6,1322,15001,50000,367
"mu[2,2]",340.9,323.9,93.68,4.266,212.7,572.2,15001,50000,482
"mu[2,3]",453.2,428.7,129.1,5.826,273.5,776.4,15001,50000,490
"mu[2,4]",545.9,512.7,176,7.52,297,984.8,15001,50000,547
"mu[3,1]",458.1,437.8,117.1,5.831,290,736.7,15001,50000,403
"mu[3,2]",389.2,375,91.2,4.231,251.1,605.4,15001,50000,464
"mu[3,3]",275,264.4,61.25,2.639,184.7,421,15001,50000,538
"mu[3,4]",709.9,680.8,169.9,7.241,463.1,1121,15001,50000,550
"mu[4,1]",149.4,141.7,43.96,2.213,85.56,255,15001,50000,394
"mu[4,2]",350.7,339.2,78.85,3.842,231.5,531.6,15001,50000,421
"mu[4,3]",327.2,316,71.57,3.049,218.2,497.5,15001,50000,551
"mu[4,4]",686.1,662.4,141.4,5.741,474.8,1026,15001,50000,606
"mu[5,1]",109.6,104.2,30.43,1.543,65.1,182.1,15001,50000,388
"mu[5,2]",82.13,79.52,19.05,0.8996,53.01,125.9,15001,50000,448
"mu[5,3]",291.6,282.6,59.91,2.506,199.9,433.3,15001,50000,571
"mu[5,4]",748.2,726.9,135.2,5.461,542.4,1066,15001,50000,612
"mu[6,1]",124.5,118.8,32.28,1.779,75.93,200.3,15001,50000,329
"mu[6,2]",54.4,52.09,14.61,0.6545,32.39,89.15,15001,50000,498
"mu[6,3]",65.78,63.98,14.27,0.5588,43.08,98.87,15001,50000,652
"mu[6,4]",776.7,759.7,120.6,4.815,589.6,1057,15001,50000,627
"mu[7,1]",137.9,131,37.31,2.128,87.16,229.8,15001,50000,307
"mu[7,2]",62.38,60.63,13.7,0.6417,40.84,94.5,15001,50000,455
"mu[7,3]",39.85,39.56,7.935,0.1998,25.31,56.52,15001,50000,1576
"mu[7,4]",613.9,604.4,82.76,3.007,479.9,801.7,15001,50000,757
"mu[8,1]",153.6,147,38.87,2.204,99.46,250.3,15001,50000,310
"mu[8,2]",72.45,70.13,16.04,0.7838,47.58,109.7,15001,50000,418
"mu[8,3]",46.61,46.22,8.489,0.2263,31.03,64.75,15001,50000,1407
"mu[8,4]",457.7,450.9,60.01,2.002,359.6,596.7,15001,50000,898
"mu[9,1]",234.6,224.6,52.72,2.956,157.5,362.8,15001,50000,318
"mu[9,2]",94.56,92.13,18.79,0.9815,66.11,138.9,15001,50000,366
"mu[9,3]",51.97,51.43,8.909,0.2594,36.04,71.18,15001,50000,1179
"mu[9,4]",315.6,312,39.97,1.135,247.1,404.7,15001,50000,1239
"mu[10,1]",278.9,266.6,64.14,3.628,188.7,432.3,15001,50000,312
"mu[10,2]",115.5,112.1,22.58,1.157,81.99,169.2,15001,50000,380
