variable,mean,median,sd,MC_error,val2.5pc,val25.0pc,val75.0pc,val97.5pc,start,sample,ESS
death.prop[1],0.183,0.1774,0.1022,0.002549,0.014,0.1032,0.2544,0.393,15001,100000,1606
death.prop[2],0.1708,0.1582,0.11,0.002596,0.00851,0.08017,0.248,0.4037,15001,100000,1796
death.prop[3],0.157,0.1444,0.1013,0.002071,0.008461,0.075,0.2257,0.3769,15001,100000,2392
death.prop[4],0.1346,0.1286,0.08172,0.001169,0.00778,0.06954,0.1904,0.3061,15001,100000,4889
death.prop[5],0.1391,0.1349,0.07156,0.001318,0.01775,0.09114,0.1789,0.2963,15001,100000,2946
death.prop[6],0.07381,0.07129,0.04176,4.05E-04,0.006092,0.04326,0.09923,0.1645,15001,100000,10617
death.prop[7],0.0614,0.05791,0.03101,5.16E-04,0.01111,0.04013,0.07828,0.1333,15001,100000,3609
death.prop[8],0.08019,0.07912,0.02493,4.98E-04,0.03242,0.06393,0.09559,0.1327,15001,100000,2501
