variable,mean,median,sd,MC_error,val2.5pc,val97.5pc,start,sample,ESS
"mu[9,3]",50.29,49.82,8.895,0.2699,34.2,69.02,15001,50000,1085
"mu[9,4]",315.6,311.6,39.77,1.221,249,406,15001,50000,1060
"mu[10,1]",308.1,293.7,81.19,4.757,199.6,505,15001,50000,291
"mu[10,2]",130.7,127.2,26.08,1.383,90.08,191.4,15001,50000,355
"mu[10,3]",62.01,61.4,9.222,0.3054,45.96,82.41,15001,50000,911
"mu[10,4]",230.3,227.5,29.55,0.9622,179.7,296.7,15001,50000,942
"mu[11,1]",318.2,304.1,80.3,4.667,209.6,516.9,15001,50000,296
"mu[11,2]",170,165.4,34.87,1.862,115.6,252.7,15001,50000,350
"mu[11,3]",79.74,78.8,10.42,0.3455,61.81,102.8,15001,50000,909
"mu[11,4]",204.3,201.7,25.19,0.8024,162.3,261.7,15001,50000,985
"mu[12,1]",304.1,289.4,74.22,4.296,204,486.3,15001,50000,298
"mu[12,2]",173.1,167.9,34.24,1.841,122.1,254.7,15001,50000,345
"mu[12,3]",103.1,101.9,13.02,0.4165,81.22,132.7,15001,50000,977
"mu[12,4]",204.1,201.4,24.51,0.7884,163.7,260.5,15001,50000,966
"mu[13,1]",230.8,219.7,58.1,3.301,152.1,380.7,15001,50000,309
"mu[13,2]",200.1,194.6,36.14,1.966,146.7,288.2,15001,50000,337
"mu[13,3]",118,116.7,14.44,0.4736,93.11,150.2,15001,50000,930
"mu[13,4]",230.9,227.8,26.51,0.8902,187.3,292.7,15001,50000,886
"mu[14,1]",375.9,358.9,96.22,5.595,243.9,613.7,15001,50000,295
"mu[14,2]",130.5,126.4,25.74,1.402,92.07,191,15001,50000,337
"mu[14,3]",157.7,155.4,17.49,0.6874,130.4,198.3,15001,50000,647
"mu[14,4]",278.5,274.7,30.66,1.015,228.4,349.9,15001,50000,912
"mu[15,1]",418.5,398.4,106.3,6.171,277.2,680.8,15001,50000,296
"mu[15,2]",154.5,149.7,29.75,1.598,110.7,226.3,15001,50000,346
"mu[15,3]",93.7,92.61,10.6,0.3738,76.04,118.4,15001,50000,803
"mu[15,4]",356.4,351.7,35.48,1.209,299.5,439.7,15001,50000,861
"mu[16,1]",304.3,288.6,80.49,4.598,195.1,488.5,15001,50000,306
"mu[16,2]",245,236.8,46.69,2.462,177.3,358.2,15001,50000,359
"mu[16,3]",120.3,119,14.58,0.48,95.53,153.1,15001,50000,922
"mu[16,4]",366,362.3,35.73,1.2,306.8,448.2,15001,50000,886
"mu[17,1]",266.4,256.1,63.85,3.434,177,409.9,15001,50000,345
"mu[17,2]",175.1,170.4,30.07,1.517,129.4,245.1,15001,50000,392
"mu[17,3]",189.6,188.7,21.76,0.6186,149.4,235.3,15001,50000,1237
"mu[17,4]",390.1,387.4,37.37,1.22,325.1,472,15001,50000,938
"mu[18,1]",351.9,337.3,82.44,4.478,234.8,540.2,15001,50000,338
"mu[18,2]",139.6,136.4,22.96,1.127,103.4,191.9,15001,50000,414
"mu[18,3]",138.5,137.9,16.2,0.475,108.3,172.2,15001,50000,1163
"mu[18,4]",471.8,468.9,44.95,1.551,392.4,568.4,15001,50000,840
"mu[19,1]",443.6,426.6,104.3,5.775,295.2,689,15001,50000,325
"mu[19,2]",197.3,192.3,32.89,1.65,146.5,272.7,15001,50000,397
"mu[19,3]",116.4,115.4,14.06,0.4199,91.19,146.6,15001,50000,1120
"mu[19,4]",494,490.4,50.09,1.816,406.1,603.2,15001,50000,760
"mu[20,1]",472.7,453.7,105.2,5.803,325.6,725.7,15001,50000,328
"mu[20,2]",269.8,263.2,49.31,2.567,192.7,380.9,15001,50000,368
"mu[20,3]",155.4,154.6,17.41,0.517,123.5,191.4,15001,50000,1133
"mu[20,4]",488.7,485,52.19,1.937,397.7,601.2,15001,50000,725
"mu[21,1]",424.8,409.3,96.52,5.324,291.1,646.4,15001,50000,328
"mu[21,2]",327,319.8,48.96,2.485,251.1,440.4,15001,50000,388
"mu[21,3]",186.5,185.8,23.69,0.8605,142.1,235.7,15001,50000,757
"mu[21,4]",496.1,492.2,51.89,1.899,405.6,607.8,15001,50000,746
"mu[22,1]",498.7,477.8,117.9,6.649,339.6,779.4,15001,50000,314
"mu[22,2]",242.5,236.8,38,2.005,184.8,330,15001,50000,359
"mu[22,3]",268.6,266.9,24.85,0.762,224.6,322.2,15001,50000,1063
"mu[22,4]",488.6,486.6,42.58,1.277,410.3,577.5,15001,50000,1112
"mu[23,1]",497.4,479.5,112.1,6.314,337.1,753.6,15001,50000,315
"mu[23,2]",232.5,227.9,41.54,2.233,166.2,323,15001,50000,346
"mu[23,3]",185.9,185.7,15.1,0.4109,156.9,216,15001,50000,1350
"mu[23,4]",554.6,554.1,38.51,0.7476,480.2,632,15001,50000,2652
"mu[24,1]",580.8,562.9,126.5,7.147,400.4,872.5,15001,50000,313
"mu[24,2]",182.6,178.9,31.52,1.703,132.6,253,15001,50000,342
"mu[24,3]",143.2,143.2,11.97,0.2793,119.5,166.6,15001,50000,1836
"mu[24,4]",553.5,553.3,36.82,0.5063,481.5,626.4,15001,50000,5290
"mu[25,1]",489.2,470.2,121.6,6.936,317.5,768.7,15001,50000,307
"mu[25,2]",371.3,364,69.88,3.429,256.4,522.8,15001,50000,415
"mu[25,3]",116.5,116.5,12.43,0.3644,92.27,141,15001,50000,1162
"mu[25,4]",508.7,509.1,31.41,0.4547,446.7,569.7,15001,50000,4772
"mu[26,1]",293.6,281.7,69.73,3.956,195.6,451.4,15001,50000,310
"mu[26,2]",310.7,303.7,54.78,2.837,223.2,433.5,15001,50000,372
"mu[26,3]",151,151,16.47,0.3815,118.7,183.3,15001,50000,1863
"mu[26,4]",465.7,465.7,27.9,0.2629,411,520.4,15001,50000,11260
"mu[27,1]",216.5,208.3,53.28,2.905,140.8,338.1,15001,50000,336
"mu[27,2]",173.2,169.7,28.99,1.512,126.9,237.2,15001,50000,367
"mu[27,3]",127.9,127.7,13.39,0.2277,101.7,154.2,15001,50000,3456
"mu[27,4]",461.6,461.6,30.45,0.2737,401.9,521.1,15001,50000,12373
"mu[28,1]",223.8,216.1,52.99,2.818,147.6,344.5,15001,50000,353
"mu[28,2]",87.01,85.2,15.46,0.8055,62.57,121.3,15001,50000,368
"mu[28,3]",58.37,58.33,6.469,0.1015,45.8,71.12,15001,50000,4061
"mu[28,4]",440.4,440.3,36.3,0.3548,369,512.3,15001,50000,10461
"mu[29,1]",239.5,220.4,101.3,3.267,102.1,493.6,15001,50000,962
"mu[29,2]",102.3,99.49,44.25,1.291,25.71,196.4,15001,50000,1174
"mu[29,3]",37.15,36.18,13.84,0.3148,12.68,66.7,15001,50000,1932
"mu[29,4]",364.9,364.9,47.41,0.4564,271.4,459.4,15001,50000,10788
"mu[30,1]",258,223.6,152.7,3.917,79.72,648,15001,50000,1520
"mu[30,2]",111.6,100.7,63.35,1.542,21.39,264.9,15001,50000,1688
"mu[30,3]",50.14,45.03,30.68,0.7063,5.928,122,15001,50000,1886
"mu[30,4]",289.1,288.3,55.95,0.6521,181.1,403.5,15001,50000,7362
"mu[31,1]",276,225.9,202.6,4.526,65.56,789.2,15001,50000,2002
"mu[31,2]",122.1,102.3,88.08,1.899,18.8,343.1,15001,50000,2150
"mu[31,3]",59,49.75,42.95,0.8812,4.593,165.4,15001,50000,2374
"mu[31,4]",241.3,238.8,64.8,1.057,120.4,378,15001,50000,3756
"mu[32,1]",293,226.8,250.2,5.185,56.77,928.8,15001,50000,2328
"mu[32,2]",131.9,103.5,112.5,2.314,16.23,416.5,15001,50000,2365
"mu[32,3]",67.83,52.98,59.3,1.109,3.767,218.9,15001,50000,2858
"mu[32,4]",215.5,210,76.44,1.545,81.27,383.6,15001,50000,2448
