variable,mean,median,sd,MC_error,val2.5pc,val97.5pc,start,sample,ESS
"mu[1,1]",1111,1043,374.9,19.51,578.9,2040,15001,50000,369
"mu[1,2]",596.9,563.1,186,8.184,336.3,1054,15001,50000,516
"mu[1,3]",374.5,356.3,125,4.05,183.5,669.6,15001,50000,952
"mu[1,4]",390.8,371.8,142.3,4.261,167.9,720,15001,50000,1114
"mu[2,1]",863.6,814,250.8,13.09,517.1,1482,15001,50000,367
"mu[2,2]",378.1,358.9,106.4,5.065,226.7,636.7,15001,50000,441
"mu[2,3]",446.8,429.3,117.5,4.708,273.4,722.7,15001,50000,622
"mu[2,4]",538.4,515.4,157.5,5.635,301,909.6,15001,50000,781
"mu[3,1]",500.6,471.3,146.3,7.98,300.9,868,15001,50000,336
"mu[3,2]",437.5,419.1,114.8,5.838,269.9,713.4,15001,50000,386
"mu[3,3]",274.9,267.1,57.24,2.241,185.4,407.1,15001,50000,652
"mu[3,4]",706.2,683.6,158.3,6.177,466.3,1076,15001,50000,656
"mu[4,1]",164.3,152.3,56.8,3.216,90.55,305.9,15001,50000,311
"mu[4,2]",392.5,376,98.94,5.234,247,634.3,15001,50000,357
"mu[4,3]",332.1,321.6,71.87,2.926,221.1,500.9,15001,50000,603
"mu[4,4]",689.1,668.8,136.3,5.506,478.6,1004,15001,50000,613
"mu[5,1]",123.8,116,39.57,2.225,71.24,224.2,15001,50000,316
"mu[5,2]",93.68,89.71,24.65,1.292,57.08,152.4,15001,50000,363
"mu[5,3]",292.4,284.7,59.43,2.366,198.9,432.9,15001,50000,630
"mu[5,4]",755.5,737.1,134.5,5.509,546.3,1071,15001,50000,596
"mu[6,1]",136,126.3,44.14,2.589,78.72,251.5,15001,50000,290
"mu[6,2]",64.65,61.52,18.74,0.9255,36.58,108.5,15001,50000,410
"mu[6,3]",66.11,64.43,14.22,0.5197,43.09,99.01,15001,50000,748
"mu[6,4]",779.8,764,121.5,4.851,588.8,1061,15001,50000,627
"mu[7,1]",151.1,142.6,42.4,2.42,93.45,264.3,15001,50000,306
"mu[7,2]",71.12,68.89,16.57,0.8028,45.59,109.5,15001,50000,425
"mu[7,3]",39.55,39.16,8.044,0.2159,24.84,56.58,15001,50000,1387
"mu[7,4]",613.3,604.6,81.3,2.899,479.9,799,15001,50000,786
"mu[8,1]",171.4,163.3,43.61,2.459,110.3,283.4,15001,50000,314
"mu[8,2]",82.75,80.17,18.79,0.9354,53.51,126.3,15001,50000,403
"mu[8,3]",44.7,44.36,8.342,0.2061,29.34,62.09,15001,50000,1637
"mu[8,4]",454.6,448.5,57.6,1.865,359.5,585.9,15001,50000,954
"mu[9,1]",250.2,238.3,67.06,3.923,162.6,412.2,15001,50000,292
"mu[9,2]",106.4,103.3,21.67,1.157,73.3,157.9,15001,50000,351
